,Player Name_x,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SOT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Rec,season
248,Terence Kongolo,1,0,0,0,0,37,45,0,0,,0,3,1,0,54,0,0,14,30,2020-2021
249,Ezri Konsa,36,2,0,3,0,1102,1305,22,7,9.7,0,25,13,53,1660,6,6,853,954,2020-2021
250,Cheikhou Kouyaté,36,1,0,4,0,992,1287,7,2,11.2,0,58,43,42,1625,12,10,787,860,2020-2021
251,Mateo Kovačić,27,0,1,4,0,1603,1774,23,4,24.3,0,46,32,18,1950,65,53,1306,1645,2020-2021
252,Emil Krafth,16,1,0,4,0,416,580,7,3,22.8,0,19,25,15,721,4,3,290,347,2020-2021
253,Filip Krovinović,11,0,0,0,0,306,374,8,2,25.1,0,13,18,2,424,9,8,212,289,2020-2021
254,Alexandre Lacazette,31,13,2,3,0,405,523,42,25,14.9,3,18,22,20,735,36,22,360,533,2020-2021
255,Adam Lallana,30,1,1,0,0,792,944,22,5,17.3,0,28,39,18,1104,28,18,586,808,2020-2021
256,Érik Lamela,23,1,0,6,1,284,363,21,9,20.4,4,17,21,11,474,40,25,286,346,2020-2021
257,Tariq Lamptey,11,1,1,4,1,372,494,6,2,11.9,0,17,13,8,623,29,13,346,376,2020-2021
258,Manuel Lanzini,17,1,1,1,0,338,375,12,3,18.4,1,9,10,9,455,13,6,277,333,2020-2021
259,Aymeric Laporte,16,0,0,1,0,1169,1285,6,1,13.1,0,13,11,12,1383,2,2,965,1100,2020-2021
260,Jamaal Lascelles,19,2,0,4,0,498,626,15,3,10.6,0,14,6,27,806,4,4,396,451,2020-2021
261,Maxime Le Marchand,2,0,0,2,0,78,85,1,0,34.1,0,2,2,0,92,0,0,47,69,2020-2021
262,Mario Lemina,28,1,0,5,0,744,897,19,2,24.2,0,62,44,26,1133,37,26,649,722,2020-2021
263,Bernd Leno,35,0,0,0,1,948,1182,0,0,,0,1,1,1,1239,0,0,711,635,2020-2021
264,Khanya Leshabela,1,0,0,0,0,6,8,0,0,,0,0,0,0,9,0,0,8,7,2020-2021
265,Jamal Lewis,24,0,1,4,0,637,852,3,1,18.6,0,37,38,21,1028,24,12,535,553,2020-2021
266,Victor Lindelöf,29,1,1,0,0,1686,1882,4,1,6.4,0,22,24,22,2095,4,2,1281,1488,2020-2021
267,Jesse Lingard,16,9,4,3,0,546,686,40,20,21.4,1,12,14,7,834,43,18,527,652,2020-2021
268,Jake Livermore,18,0,0,2,1,273,388,5,0,19.8,0,33,31,21,522,5,2,195,242,2020-2021
269,Diego Llorente,15,1,0,1,0,598,721,8,3,17.4,0,34,32,18,873,8,6,508,530,2020-2021
270,Hugo Lloris,38,0,0,0,0,801,1079,0,0,,0,0,1,0,1139,0,0,551,419,2020-2021
271,Giovani Lo Celso,18,1,1,5,0,469,604,15,5,19.0,1,28,29,12,719,20,8,390,495,2020-2021
272,Ruben Loftus-Cheek,1,0,0,0,0,11,17,0,0,,0,0,0,0,25,3,0,13,18,2020-2021
273,Ruben Loftus-Cheek,30,1,0,3,0,578,722,35,8,16.6,0,25,23,20,1000,72,38,647,752,2020-2021
274,Kevin Long,8,0,0,2,0,191,268,2,0,9.3,0,11,9,11,325,0,0,137,159,2020-2021
275,Shane Long,11,0,0,0,0,32,57,2,1,21.3,0,2,3,0,86,5,2,41,64,2020-2021
276,Matthew Longstaff,5,0,0,0,0,117,146,0,0,,0,3,8,7,174,2,2,88,93,2020-2021
277,Sean Longstaff,22,0,1,2,0,467,591,15,5,19.8,1,31,42,26,751,9,4,363,445,2020-2021
278,Ademola Lookman,34,4,4,5,0,892,1199,68,22,17.8,4,35,44,31,1576,128,82,962,1075,2020-2021
279,Max Lowe,8,0,0,1,0,147,221,2,1,21.4,0,26,21,12,291,11,7,120,158,2020-2021
280,Matthew Lowton,34,1,1,5,0,1061,1550,21,4,24.9,0,54,73,36,1882,40,27,823,920,2020-2021
281,David Luiz,20,1,0,1,1,836,1013,15,2,19.0,3,12,4,16,1143,4,3,766,843,2020-2021
282,Douglas Luiz,33,0,2,10,1,1217,1445,26,8,23.9,1,49,58,52,1726,32,23,916,1020,2020-2021
283,John Lundstram,28,0,2,8,1,859,1082,19,4,23.8,1,25,47,26,1270,24,15,699,874,2020-2021
284,Alexis Mac Allister,21,1,1,1,0,320,410,24,3,22.5,1,26,38,25,563,26,16,303,368,2020-2021
285,James Maddison,31,8,5,4,0,874,1132,75,23,24.7,13,32,41,14,1380,51,29,772,1010,2020-2021
286,Harry Maguire,34,2,1,11,0,1958,2250,36,9,12.8,0,29,29,28,2568,14,8,1534,1743,2020-2021
287,Riyad Mahrez,27,9,6,0,0,916,1096,58,22,17.0,3,20,30,19,1311,81,45,927,1074,2020-2021
288,Ainsley Maitland-Niles,11,0,0,0,0,226,291,2,1,20.9,0,11,12,12,355,10,6,198,215,2020-2021
289,Ainsley Maitland-Niles,15,0,0,2,0,313,416,10,3,23.1,0,22,28,12,583,33,16,292,320,2020-2021
290,Josh Maja,15,3,0,0,0,154,181,20,7,14.3,0,7,10,3,256,15,8,150,199,2020-2021
291,Sadio Mané,35,11,7,3,0,812,1082,94,34,13.7,0,48,33,30,1512,144,82,1061,1266,2020-2021
292,Javier Manquillo,13,0,0,1,0,284,398,1,0,24.8,0,24,17,8,489,8,1,219,256,2020-2021
293,Fernando Marçal,13,0,0,2,0,304,379,2,0,26.7,0,13,11,11,464,13,7,216,252,2020-2021
294,Solly March,21,2,1,0,0,676,979,22,4,17.0,1,49,34,30,1185,63,44,605,662,2020-2021
295,Pablo Marí,10,0,0,2,0,552,630,2,0,21.6,0,15,10,8,700,3,3,455,518,2020-2021
296,Anthony Martial,22,4,3,0,1,409,492,43,20,14.0,0,2,10,17,675,59,35,454,585,2020-2021
297,Gabriel Martinelli,14,2,1,0,0,121,159,20,8,14.1,0,7,10,6,256,25,13,157,169,2020-2021
298,Emiliano Martínez,38,0,0,1,0,880,1319,0,0,,0,3,4,0,1404,0,0,779,593,2020-2021
299,Arthur Masuaku,12,0,2,2,0,443,566,6,2,21.1,0,20,34,12,702,44,29,389,455,2020-2021
300,Juan Mata,9,1,2,0,0,249,300,4,3,21.5,0,1,7,3,329,3,2,215,278,2020-2021
301,Jean-Philippe Mateta,7,1,0,0,0,29,49,4,2,10.6,0,1,3,1,77,6,3,31,61,2020-2021
302,Nemanja Matić,20,0,0,2,0,921,1026,6,3,22.8,0,25,31,19,1137,21,17,751,853,2020-2021
303,Joël Matip,10,1,2,2,0,479,546,5,2,7.3,0,14,8,6,607,0,0,369,427,2020-2021
304,Neal Maupay,33,8,2,1,1,520,672,67,22,14.8,0,20,24,20,940,48,24,547,674,2020-2021
305,James McArthur,18,0,2,3,0,643,795,6,0,21.3,0,57,39,28,985,19,14,488,532,2020-2021
306,Oliver McBurnie,23,1,0,2,0,253,447,30,12,12.5,0,15,17,10,610,13,4,234,469,2020-2021
307,Alex McCarthy,30,0,0,2,0,700,1080,0,0,,0,1,4,0,1145,2,2,631,583,2020-2021
308,James McCarthy,16,0,0,1,0,258,342,1,0,32.5,0,16,21,15,419,3,2,181,210,2020-2021
309,John McGinn,37,3,5,12,0,1102,1439,45,11,23.7,0,61,84,38,1785,77,52,996,1187,2020-2021
310,David McGoldrick,35,8,1,7,0,697,947,71,23,18.2,1,33,31,19,1288,81,47,729,992,2020-2021
311,Dwight McNeil,36,2,5,1,0,936,1372,26,9,22.3,1,47,56,44,1703,103,63,1021,1068,2020-2021
312,Scott McTominay,32,4,1,3,0,1139,1320,26,7,17.6,0,51,36,35,1603,35,26,942,1127,2020-2021
313,Ben Mee,30,2,0,3,0,802,1130,22,6,10.6,0,32,29,54,1467,6,4,626,672,2020-2021
314,Hannibal Mejbri,1,0,0,0,0,3,3,0,0,,0,0,0,0,6,3,1,5,4,2020-2021
315,Benjamin Mendy,13,2,1,2,0,540,666,6,2,17.2,0,13,21,12,747,14,11,394,501,2020-2021
316,Edouard Mendy,31,0,0,2,0,874,1027,0,0,,0,0,1,0,1070,0,0,644,624,2020-2021
317,Nampalys Mendy,23,0,1,5,0,886,976,4,2,28.5,0,26,20,12,1103,12,6,671,812,2020-2021
318,Illan Meslier,35,0,0,0,0,1109,1369,0,0,,0,0,1,0,1465,0,0,898,728,2020-2021
319,Luka Milivojević,31,1,1,8,1,1091,1341,17,5,28.4,7,65,77,29,1589,14,8,798,947,2020-2021
320,James Milner,26,0,1,3,0,779,934,12,3,24.8,0,26,33,30,1072,12,6,618,743,2020-2021
321,Yerry Mina,24,2,0,2,0,1134,1259,17,4,11.2,0,21,12,30,1481,3,1,940,1049,2020-2021
322,Takumi Minamino,10,2,0,1,0,183,261,13,4,18.3,0,7,19,13,351,13,4,201,237,2020-2021
323,Takumi Minamino,9,1,0,0,0,111,142,7,3,17.0,0,4,12,1,168,7,7,106,129,2020-2021
324,Tyrone Mings,36,2,2,6,1,1314,1696,19,7,9.9,0,32,24,59,2075,8,6,1085,1210,2020-2021
325,Tyrick Mitchell,19,1,1,1,0,556,809,2,2,7.8,0,64,40,29,1021,18,11,432,476,2020-2021
326,Aleksandar Mitrović,27,3,3,3,0,284,388,57,19,15.8,2,7,8,12,584,12,7,275,457,2020-2021
327,Jakub Moder,12,0,0,0,0,203,284,13,3,17.9,0,15,20,12,375,17,9,203,251,2020-2021
328,Jayson Molumby,1,0,0,0,0,0,1,0,0,,0,0,0,0,1,0,0,0,0,2020-2021
329,Wesley Moraes,3,0,0,0,0,4,4,1,1,12.6,0,0,1,0,8,0,0,4,4,2020-2021
330,Wes Morgan,3,0,0,0,0,5,5,0,0,,0,0,0,0,6,0,0,2,3,2020-2021
331,Mason Mount,36,6,5,2,0,1549,1900,81,25,21.1,6,75,69,40,2305,81,43,1330,1640,2020-2021
332,Lucas Moura,30,3,4,1,0,437,602,18,6,16.1,0,32,29,12,833,70,33,480,588,2020-2021
333,Lys Mousset,11,0,0,0,0,34,46,4,2,16.8,0,1,2,1,85,13,4,47,63,2020-2021
334,João Moutinho,33,1,1,5,1,1553,1846,14,4,23.7,1,75,91,18,2062,18,13,1136,1354,2020-2021
335,Joel Mumbongo,4,0,0,1,0,4,5,0,0,,0,0,0,1,10,1,0,9,9,2020-2021
336,Jacob Murphy,26,2,3,3,0,420,624,30,8,23.4,6,39,49,27,853,63,39,417,458,2020-2021
337,Shkodran Mustafi,3,0,0,0,0,44,50,0,0,,0,1,1,1,55,0,0,43,42,2020-2021
338,Marvelous Nakamba,13,0,0,3,0,240,286,2,1,28.9,0,22,12,16,372,4,4,194,208,2020-2021
339,Iliman Ndiaye,1,0,0,0,0,3,3,0,0,,0,1,1,0,7,0,0,2,3,2020-2021
340,Wilfred Ndidi,26,1,4,6,0,1245,1441,16,1,20.0,0,96,66,38,1755,30,16,912,1079,2020-2021
341,Tanguy Ndombele,33,3,2,3,0,1008,1186,18,7,18.4,0,41,44,28,1444,99,74,897,1086,2020-2021
342,Reiss Nelson,2,0,0,0,0,17,29,1,0,12.1,0,1,0,0,40,4,1,22,23,2020-2021
343,Pedro Neto,31,5,6,4,0,962,1229,61,21,19.6,3,16,28,18,1545,129,64,965,1144,2020-2021
344,Rúben Neves,36,5,1,8,0,1678,2007,64,13,26.9,12,86,88,55,2378,15,10,1384,1636,2020-2021
345,Eddie Nketiah,17,2,1,0,0,76,93,12,5,12.8,0,3,2,6,153,12,7,82,114,2020-2021
346,Niels Nkounkou,2,0,0,1,0,29,36,1,0,27.0,0,4,8,4,58,4,2,24,33,2020-2021
347,Dan Nlundulu,13,0,0,0,0,21,29,1,0,12.4,0,0,1,2,49,2,2,21,34,2020-2021
348,Mark Noble,21,0,0,1,0,388,442,1,0,22.3,0,8,14,7,487,2,2,284,338,2020-2021
349,Will Norris,2,0,0,0,0,27,57,0,0,,0,0,0,0,57,0,0,25,22,2020-2021
350,Oliver Norwood,32,0,0,6,0,1205,1532,11,1,31.6,2,49,72,29,1741,4,2,871,1111,2020-2021
351,Jack O'Connell,2,0,0,0,0,56,79,0,0,,0,3,1,4,100,1,0,37,56,2020-2021
352,Dara O'Shea,28,0,0,3,0,583,924,3,0,13.5,0,45,45,32,1182,9,5,448,542,2020-2021
353,Michael Obafemi,4,0,0,0,0,12,13,0,0,,0,1,1,1,21,1,0,10,12,2020-2021
354,Denis Odoi,3,0,0,1,0,156,190,2,1,25.5,0,3,4,3,215,1,1,121,133,2020-2021
355,Angelo Ogbonna,28,3,0,5,0,830,1022,13,4,7.3,0,26,17,25,1272,4,3,691,723,2020-2021
356,Robin Olsen,7,0,0,1,0,139,200,0,0,,0,0,0,0,218,0,0,88,92,2020-2021
357,Josh Onomah,11,0,0,1,0,153,172,6,1,17.9,0,11,5,4,215,2,2,137,154,2020-2021
358,Divock Origi,9,0,0,0,0,47,61,7,2,18.5,0,3,3,5,88,4,0,58,68,2020-2021
359,Ben Osborn,24,1,0,1,0,660,859,9,4,18.4,0,33,40,20,1026,26,19,594,702,2020-2021
360,Owen Otasowie,6,0,1,1,0,43,59,4,0,13.6,0,5,2,1,97,7,3,54,61,2020-2021
361,Alex Oxlade-Chamberlain,13,1,1,0,0,106,143,8,4,21.8,0,4,2,1,182,7,1,99,129,2020-2021
362,Emerson Palmieri,2,0,0,0,0,51,68,0,0,,0,3,3,0,81,2,0,39,42,2020-2021
363,Thomas Partey,24,0,2,5,0,994,1149,26,4,27.1,0,44,56,17,1333,35,28,841,947,2020-2021
364,Rui Patrício,37,0,0,1,0,559,810,0,0,,0,0,1,0,870,0,0,380,212,2020-2021
365,Bailey Peacock-Farrell,4,0,0,0,0,59,114,0,0,,0,0,0,0,122,0,0,51,38,2020-2021
366,Lee Peltier,4,0,0,1,0,49,80,0,0,,0,9,4,1,106,1,1,39,45,2020-2021
367,Nicolas Pépé,29,10,1,1,1,519,690,47,19,15.7,1,20,23,16,948,66,27,585,704,2020-2021
368,Matheus Pereira,33,11,6,2,1,790,1097,61,23,23.1,10,26,54,18,1411,74,40,732,880,2020-2021
369,Ricardo Pereira,15,0,1,3,0,418,548,7,4,20.1,0,31,35,24,714,30,14,343,427,2020-2021
370,Ayoze Pérez,25,2,1,2,0,369,497,31,13,17.1,1,32,48,28,715,59,29,427,516,2020-2021
371,Kalvin Phillips,29,1,2,10,0,1222,1490,15,5,27.5,3,74,62,49,1789,32,20,902,1055,2020-2021
372,Matt Phillips,33,2,1,1,0,384,563,22,10,20.6,1,15,23,32,809,56,24,433,477,2020-2021
373,Nathaniel Phillips,17,1,1,2,0,948,1127,15,2,10.4,0,22,24,17,1314,2,2,774,863,2020-2021
374,Jaden Philogene Bidace,1,0,0,0,0,2,4,0,0,,0,0,0,0,4,0,0,3,3,2020-2021
375,Jordan Pickford,31,0,0,1,0,766,1154,0,0,,0,0,2,2,1240,0,0,670,618,2020-2021
376,Erik Pieters,20,0,1,1,0,449,606,4,3,18.9,0,30,39,30,750,10,6,303,356,2020-2021
377,Daniel Podence,24,3,2,3,0,483,643,32,14,17.5,0,12,19,5,803,64,38,557,621,2020-2021
378,Paul Pogba,26,3,3,3,0,1112,1367,31,11,17.0,0,36,33,24,1640,65,44,1015,1258,2020-2021
379,Nick Pope,32,0,0,1,0,505,989,0,0,,0,1,1,0,1078,0,0,484,295,2020-2021
380,Dennis Praet,15,1,1,0,0,248,315,8,2,16.8,0,14,15,12,405,16,6,186,277,2020-2021
381,Davy Pröpper,7,0,0,0,0,70,96,4,2,17.6,0,6,5,3,114,3,2,83,88,2020-2021
382,Christian Pulisic,27,4,2,2,0,561,705,43,16,14.5,0,19,21,25,994,108,49,654,772,2020-2021
383,Aaron Ramsdale,38,0,0,1,0,569,1153,0,0,,0,1,1,0,1274,2,2,650,421,2020-2021
384,Jacob Ramsey,22,0,0,0,0,192,229,11,1,18.6,0,10,12,13,315,12,7,180,197,2020-2021
385,Kayne Ramsey,1,0,0,1,0,17,23,0,0,,0,5,3,0,35,0,0,14,14,2020-2021
386,Darren Randolph,3,0,0,0,0,36,66,0,0,,0,0,0,0,70,0,0,27,22,2020-2021
387,Raphinha,30,6,9,3,0,687,1064,67,24,17.2,4,34,58,31,1445,110,56,829,957,2020-2021
388,Marcus Rashford,37,11,9,4,0,1001,1248,79,36,18.9,5,18,27,22,1614,163,82,1008,1341,2020-2021
389,Tim Ream,7,0,0,0,0,424,468,0,0,,0,12,11,8,525,2,1,338,382,2020-2021
390,Nathan Redmond,29,2,3,1,0,570,765,45,13,18.5,0,30,24,24,1009,68,39,581,704,2020-2021
391,Harrison Reed,31,0,2,5,0,1288,1516,13,4,26.1,0,63,73,34,1756,24,15,896,1061,2020-2021
392,Sergio Reguilón,27,0,3,5,0,1092,1445,20,4,19.0,0,47,48,39,1731,49,22,916,1083,2020-2021
393,Bobby Reid,33,5,2,7,0,615,830,34,8,16.9,1,31,39,19,1095,52,27,585,726,2020-2021
394,Declan Rice,32,2,1,2,0,1352,1561,25,7,20.8,3,59,51,39,1850,34,29,1066,1209,2020-2021
395,Lewis Richardson,2,0,0,0,0,0,1,0,0,,0,0,0,0,2,1,0,2,2,2020-2021
396,Richarlison,34,7,3,4,1,526,791,80,31,15.1,1,50,51,28,1179,102,61,752,846,2020-2021
397,Jaïro Riedewald,33,2,0,4,0,541,636,8,2,21.0,0,34,36,39,818,19,13,438,482,2020-2021
398,Matt Ritchie,18,0,2,2,0,411,611,11,1,22.6,2,10,17,17,751,15,8,341,380,2020-2021
399,Tyler Roberts,27,1,2,3,0,334,478,26,12,19.4,0,15,22,17,625,25,17,368,476,2020-2021
400,Andrew Robertson,38,1,7,2,0,2624,3303,19,5,17.4,0,46,57,39,3588,53,28,2146,2425,2020-2021
401,Antonee Robinson,28,0,0,4,1,974,1385,10,4,20.0,0,45,44,21,1670,73,51,827,939,2020-2021
402,Callum Robinson,28,5,0,0,0,299,433,31,11,19.8,0,7,19,9,592,29,15,323,423,2020-2021
403,Jack Robinson,11,0,1,3,0,364,470,6,0,12.9,0,14,11,10,568,4,3,246,309,2020-2021
404,Hal Robson-Kanu,19,2,0,2,0,56,81,13,6,20.1,0,2,1,2,178,14,6,111,130,2020-2021
405,Marek Rodák,2,0,0,0,0,39,47,0,0,,0,0,0,0,50,0,0,29,28,2020-2021
406,Joe Rodon,12,0,0,0,0,378,429,1,0,9.6,0,14,4,10,517,0,0,269,338,2020-2021
407,Rodri,34,2,2,6,0,2545,2801,31,7,20.8,0,72,66,23,3082,33,28,1955,2349,2020-2021
408,Rodrigo,26,7,2,3,0,437,586,46,18,16.4,1,14,22,7,738,25,16,470,587,2020-2021
409,James Rodríguez,23,6,4,4,0,901,1149,37,18,20.7,4,28,46,17,1313,48,34,827,959,2020-2021
410,Jay Rodriguez,31,1,2,3,0,202,280,31,9,17.1,0,25,28,25,459,28,12,249,314,2020-2021
411,Oriol Romeu,21,1,1,6,0,1056,1287,14,4,25.9,0,69,68,28,1492,17,14,773,1007,2020-2021
412,John Ruddy,2,0,0,0,0,19,24,0,0,,0,0,0,0,24,0,0,13,4,2020-2021
413,Antonio Rüdiger,19,1,0,0,0,1365,1534,14,6,18.3,0,31,15,17,1690,6,3,1074,1301,2020-2021
414,Mathew Ryan,3,0,0,0,0,63,68,0,0,,0,0,0,0,75,0,0,44,31,2020-2021
415,Mathew Ryan,11,0,0,1,0,329,411,0,0,,0,1,0,0,428,0,0,254,258,2020-2021
416,Allan Saint-Maximin,25,3,4,0,0,355,444,30,12,20.8,0,16,9,10,666,145,96,498,518,2020-2021
417,Romain Saïss,27,3,0,2,0,1199,1495,28,11,13.4,2,35,33,28,1786,15,9,1003,1152,2020-2021
418,Bukayo Saka,32,5,3,1,0,858,1161,61,20,16.1,1,25,40,21,1503,87,46,905,1098,2020-2021
419,Mamadou Sakho,4,0,0,0,0,83,94,1,0,12.3,0,3,3,3,121,0,0,62,59,2020-2021
420,Mohamed Salah,37,22,5,0,0,1067,1302,120,46,16.4,1,18,16,10,1695,84,36,1185,1420,2020-2021
421,Mohammed Salisu,12,0,0,1,0,304,383,4,1,12.7,0,38,34,22,521,12,9,265,272,2020-2021
422,Davinson Sánchez,18,0,0,1,0,868,1027,5,0,10.1,0,40,32,18,1210,1,1,729,809,2020-2021
423,Robert Sánchez,27,0,0,2,0,812,1106,0,0,,0,1,1,1,1162,0,0,711,680,2020-2021
424,Morgan Sanson,9,0,0,3,0,118,154,2,0,29.2,0,7,4,5,201,7,4,127,137,2020-2021
425,Romaine Sawyers,19,0,0,2,0,616,729,4,0,25.4,0,30,43,20,867,21,8,406,516,2020-2021
426,Dane Scarlett,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2020-2021
427,Fabian Schär,18,1,0,4,1,468,614,11,4,27.8,3,13,19,19,759,14,7,413,433,2020-2021
428,Jeffrey Schlupp,27,2,3,3,0,304,436,18,10,14.3,0,29,23,24,664,64,31,356,413,2020-2021
429,Kasper Schmeichel,38,0,0,0,0,927,1251,0,0,,0,0,0,0,1314,2,1,684,627,2020-2021
430,Nélson Semedo,34,1,1,5,0,1586,1976,23,11,21.2,0,85,72,30,2372,103,62,1288,1419,2020-2021
431,Femi Seriki,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2020-2021
432,Jamie Shackleton,13,0,0,0,0,191,214,0,0,,0,10,11,3,254,3,3,121,160,2020-2021
433,Xherdan Shaqiri,14,0,2,2,0,361,428,11,0,22.8,1,7,7,4,477,9,6,307,364,2020-2021
434,Billy Sharp,16,3,0,1,0,85,123,7,4,16.5,0,5,9,2,187,12,5,99,137,2020-2021
435,Luke Shaw,32,1,5,8,0,1650,2068,11,6,17.3,0,44,36,34,2310,56,36,1249,1429,2020-2021
436,Jonjo Shelvey,30,1,3,7,0,1092,1499,42,9,24.3,11,39,37,26,1728,26,20,932,1087,2020-2021
437,Shola Shoretire,2,0,0,0,0,5,6,0,0,,0,0,0,0,10,0,0,6,9,2020-2021
438,Gylfi Sigurðsson,36,6,5,2,0,758,963,45,13,22.8,7,30,44,31,1217,26,14,575,747,2020-2021
439,Bernardo Silva,26,2,6,5,0,1287,1434,28,13,14.9,0,26,52,17,1621,65,41,1116,1304,2020-2021
440,Fábio Silva,32,4,3,2,0,237,330,47,16,13.0,0,6,12,12,507,21,7,266,363,2020-2021
441,Thiago Silva,23,2,0,5,1,1809,1952,13,4,8.8,0,20,21,21,2136,3,2,1374,1634,2020-2021
442,Moussa Sissoko,25,0,0,3,0,679,811,3,1,13.0,0,22,20,11,954,27,18,523,593,2020-2021
443,Islam Slimani,1,0,0,0,0,6,9,1,0,10.8,0,0,0,0,12,0,0,5,10,2020-2021
444,William Smallbone,3,0,0,0,0,61,78,1,1,19.6,0,6,3,5,95,0,0,58,62,2020-2021
445,Emile Smith Rowe,20,2,4,0,0,648,746,13,4,17.8,0,14,17,15,890,30,10,551,705,2020-2021
446,Robert Snodgrass,8,0,0,2,0,107,141,4,1,18.3,1,17,16,11,217,8,4,88,107,2020-2021
447,Robert Snodgrass,3,0,0,0,0,4,4,0,0,,0,0,0,0,4,0,0,4,4,2020-2021
448,Cédric Soares,10,0,1,1,0,349,469,7,2,25.2,1,12,21,6,542,11,5,274,336,2020-2021
449,Tomáš Souček,38,10,1,7,1,1218,1623,64,23,12.3,0,78,77,43,2083,29,16,886,1166,2020-2021
450,Çağlar Söyüncü,23,1,0,2,0,1244,1423,10,3,10.4,0,27,30,12,1609,6,4,990,1138,2020-2021
451,Zack Steffen,1,0,0,0,0,25,30,0,0,,0,0,0,0,30,0,0,18,18,2020-2021
452,Dale Stephens,7,0,0,1,0,98,120,4,0,21.4,0,11,6,3,156,2,1,67,79,2020-2021
453,Jack Stephens,18,0,0,2,0,860,1067,6,2,9.2,0,34,38,25,1244,5,2,646,801,2020-2021
454,Raheem Sterling,31,10,7,4,0,966,1141,69,28,14.5,3,21,12,15,1449,122,66,1037,1237,2020-2021
455,Enda Stevens,30,0,1,6,0,1108,1459,16,4,17.4,0,59,58,41,1785,35,20,815,993,2020-2021
456,John Stones,22,4,0,0,1,1620,1737,15,5,13.9,0,21,14,23,1886,11,10,1370,1520,2020-2021
457,Pascal Struijk,27,1,0,3,0,1118,1301,14,4,9.8,0,49,28,35,1580,5,4,871,1012,2020-2021
458,Japhet Tanganga,6,0,0,2,0,195,239,2,0,6.3,0,5,3,6,282,13,9,120,154,2020-2021
459,Matt Targett,38,0,2,7,0,1647,2189,6,2,21.8,1,83,88,40,2534,25,15,1151,1348,2020-2021
460,James Tarkowski,36,1,0,6,0,889,1279,22,5,9.2,0,66,49,54,1676,14,12,692,793,2020-2021
461,Percy Tau,3,0,1,0,0,24,33,0,0,,0,1,2,1,43,3,3,29,30,2020-2021
462,Sidnei Tavares,2,0,0,0,0,18,26,1,1,24.6,0,1,0,1,33,1,1,25,27,2020-2021
463,Charlie Taylor,29,0,1,1,0,922,1342,3,2,23.6,0,48,46,36,1624,47,25,765,846,2020-2021
464,Neil Taylor,1,0,0,1,0,9,10,0,0,,0,1,0,1,13,0,0,9,8,2020-2021
465,Allan Tchaptchet,1,0,0,0,0,0,1,0,0,,0,0,0,0,2,0,0,0,1,2020-2021
466,Nathan Tella,18,1,1,2,0,99,142,17,8,19.2,0,8,15,13,262,25,11,170,180,2020-2021
467,Alex Telles,9,0,2,0,0,467,584,5,1,22.3,0,14,17,7,667,7,3,355,417,2020-2021
468,Kenny Tete,22,0,1,3,0,636,879,7,1,18.7,0,48,18,14,1076,19,10,548,602,2020-2021
469,William Thomas Fish,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2020-2021
470,Luke Thomas,14,1,0,2,0,358,498,7,3,13.7,0,23,21,15,635,18,6,288,363,2020-2021
471,Youri Tielemans,38,6,4,6,0,2061,2642,47,18,23.5,4,86,108,35,2997,64,43,1562,2121,2020-2021
472,Kieran Tierney,27,1,3,4,0,1130,1523,15,3,24.0,0,27,31,31,1742,30,16,975,1103,2020-2021
473,James Tomkins,8,0,0,1,0,140,182,2,1,9.9,0,4,4,4,244,0,0,110,122,2020-2021
474,Fikayo Tomori,1,0,0,0,0,28,29,0,0,,0,2,0,1,41,0,0,13,22,2020-2021
475,Ferrán Torres,24,7,2,1,0,353,445,36,14,15.6,0,12,16,16,608,46,20,383,471,2020-2021
476,Cenk Tosun,5,0,0,1,0,10,15,0,0,,0,0,1,0,17,0,0,9,13,2020-2021
477,Andros Townsend,34,1,5,0,0,578,871,36,11,22.6,4,78,79,48,1213,73,44,679,706,2020-2021
478,Conor Townsend,25,0,2,0,0,883,1196,11,4,17.4,2,44,49,38,1448,27,11,623,776,2020-2021
479,Adama Traoré,37,2,2,4,0,572,873,43,13,19.7,0,28,21,23,1267,216,153,845,987,2020-2021
480,Bertrand Traoré,36,7,6,1,0,569,808,64,23,16.7,2,26,34,23,1137,97,52,695,770,2020-2021
481,Trézéguet,21,2,1,0,0,223,317,35,12,14.2,0,33,45,13,508,31,17,277,313,2020-2021
482,Leandro Trossard,35,5,5,2,0,816,1094,58,23,18.6,2,33,36,34,1401,68,39,869,988,2020-2021
483,Kostas Tsimikas,2,0,0,0,0,6,9,0,0,,0,0,0,0,10,0,0,7,8,2020-2021
484,Axel Tuanzebe,9,0,0,2,0,239,270,0,0,,0,13,9,7,321,2,0,164,212,2020-2021
485,Cengiz Ünder,9,0,2,0,0,91,130,9,1,23.3,0,4,5,3,169,23,15,111,132,2020-2021
486,Yan Valery,3,0,0,0,0,54,64,2,0,25.0,0,5,5,2,95,4,0,54,48,2020-2021
487,Virgil van Dijk,5,1,0,1,0,307,342,4,2,14.8,0,3,0,1,364,0,0,282,295,2020-2021
488,Jamie Vardy,34,15,9,1,0,295,458,73,28,14.4,0,18,15,14,708,41,26,336,505,2020-2021
