,Player Name_x,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SOT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Rec,season
70,Josh Brownhill,33,0,1,2,0,927,1198,34,7,21.9,7,45,44,33,1506,21,15,682,819,2020-2021
71,Joe Bryan,16,1,0,2,0,298,430,8,2,21.9,1,15,12,8,500,14,14,259,289,2020-2021
72,Kean Bryan,13,1,0,1,0,333,486,3,1,7.7,0,20,19,16,600,5,3,293,322,2020-2021
73,Oliver Burke,25,1,1,2,0,178,262,25,6,15.6,0,16,24,24,431,30,16,239,307,2020-2021
74,Dan Burn,27,1,0,5,0,954,1280,17,6,14.4,0,50,53,30,1549,20,12,749,934,2020-2021
75,Jack Butland,1,0,0,0,0,6,22,0,0,,0,0,0,0,24,0,0,11,4,2020-2021
76,David Button,1,0,0,0,0,18,37,0,0,,0,0,0,0,37,0,0,19,13,2020-2021
77,Oskar Buur,1,0,0,0,0,14,15,0,0,,0,0,2,0,18,0,0,8,13,2020-2021
78,Willy Caballero,1,0,0,0,0,24,26,0,0,,0,0,0,0,26,0,0,13,16,2020-2021
79,Gary Cahill,20,1,1,3,0,615,748,11,3,12.5,0,13,11,27,938,1,1,449,529,2020-2021
80,Tom Cairney,10,1,1,2,0,560,632,12,4,21.0,0,9,4,6,687,17,16,469,567,2020-2021
81,Dominic Calvert-Lewin,33,16,0,3,0,469,691,83,46,12.2,0,17,12,22,1044,49,22,530,829,2020-2021
82,João Cancelo,28,2,3,5,1,1815,2128,35,11,22.5,0,68,83,23,2421,81,47,1472,1696,2020-2021
83,Ian Carlo Poveda,14,0,0,0,0,86,120,5,3,17.8,0,5,7,5,180,23,12,125,132,2020-2021
84,Andy Carroll,18,1,0,1,0,85,139,14,2,14.3,0,3,8,1,204,4,2,82,141,2020-2021
85,Scott Carson,1,0,0,0,0,15,16,0,0,,0,0,0,0,19,0,0,12,7,2020-2021
86,Fabio Carvalho,4,1,0,0,0,67,89,9,5,15.4,0,9,9,2,133,10,8,85,89,2020-2021
87,Matty Cash,28,0,2,8,1,959,1320,9,2,22.9,0,71,74,50,1655,18,12,756,812,2020-2021
88,Kiko Casilla,3,0,0,0,0,87,98,0,0,,0,0,0,0,103,0,0,47,37,2020-2021
89,Timothy Castagne,27,2,3,1,0,1284,1545,8,3,10.9,0,52,44,29,1800,24,11,919,1160,2020-2021
90,Jonny Castro,7,0,0,0,0,185,243,1,0,15.2,0,11,13,9,299,8,3,128,167,2020-2021
91,Ivan Cavaleiro,36,3,0,2,0,589,857,45,15,18.1,1,23,34,25,1201,98,53,714,834,2020-2021
92,Edinson Cavani,26,10,3,4,0,264,343,34,15,11.4,0,12,13,2,466,12,6,223,337,2020-2021
93,Dani Ceballos,25,0,3,4,0,1126,1310,13,2,21.7,1,37,51,23,1482,38,26,964,1090,2020-2021
94,Calum Chambers,10,0,2,0,0,466,593,8,0,16.6,0,7,8,6,687,10,4,341,412,2020-2021
95,Ben Chilwell,27,3,5,3,0,1431,1839,27,10,14.4,0,42,33,28,2104,27,16,1173,1418,2020-2021
96,Hamza Choudhury,10,0,0,1,0,192,239,4,1,22.2,0,8,10,4,286,1,0,162,187,2020-2021
97,Andreas Christensen,17,0,0,2,1,1046,1149,3,0,12.7,0,11,8,19,1272,7,7,799,939,2020-2021
98,Carney Chukwuemeka,2,0,0,0,0,6,9,1,0,23.5,0,2,3,0,13,0,0,7,11,2020-2021
99,Ciaran Clark,22,1,0,3,0,657,808,8,2,11.1,0,24,13,27,1026,8,4,520,568,2020-2021
100,Nathaniel Clyne,13,0,1,2,0,448,593,4,1,21.7,0,17,16,7,698,6,4,346,364,2020-2021
101,Conor Coady,37,1,0,5,0,1638,1865,7,2,11.6,0,35,35,40,2137,8,6,1282,1494,2020-2021
102,Séamus Coleman,25,0,3,0,0,620,765,12,4,19.7,0,39,30,22,964,33,20,540,579,2020-2021
103,Aaron Connolly,17,2,1,0,0,72,94,23,8,14.0,0,6,2,4,174,11,5,106,134,2020-2021
104,Liam Cooper,25,1,0,4,1,1415,1662,15,8,8.9,0,68,59,39,1934,4,3,1122,1242,2020-2021
105,Theo Corbeanu,1,0,0,0,0,3,3,0,0,,0,2,1,0,8,0,0,5,5,2020-2021
106,Jack Cork,16,0,0,2,0,424,511,5,0,22.3,0,26,31,15,639,7,5,322,375,2020-2021
107,Hélder Costa,22,3,3,0,0,242,331,16,6,14.8,0,25,32,11,497,48,19,303,337,2020-2021
108,Vladimír Coufal,34,0,7,3,0,1196,1746,15,5,16.5,0,73,89,41,2096,24,15,897,1057,2020-2021
109,Aaron Cresswell,36,0,8,3,0,1586,2141,19,4,25.4,11,32,32,29,2366,10,4,1148,1349,2020-2021
110,Patrick Cutrone,2,0,0,0,0,0,2,1,0,10.2,0,0,0,0,4,0,0,2,4,2020-2021
111,Stuart Dallas,38,8,2,7,0,1830,2235,48,18,20.5,0,74,88,41,2600,33,22,1475,1747,2020-2021
112,Scott Dann,15,1,0,1,0,521,644,4,1,10.2,0,6,11,16,769,4,4,397,446,2020-2021
113,Karl Darlow,25,0,0,3,0,376,728,0,0,,0,0,0,0,808,0,0,336,226,2020-2021
114,Ben Davies,20,0,1,1,0,627,817,3,0,13.0,0,27,30,10,954,7,3,469,554,2020-2021
115,Tom Davies,25,0,1,3,0,572,706,7,0,25.8,0,31,39,15,866,24,18,507,576,2020-2021
116,Keinan Davis,15,1,1,0,0,55,77,9,2,10.6,0,2,1,1,118,12,9,73,97,2020-2021
117,Leif Davis,2,0,0,0,0,17,19,0,0,,0,0,3,1,25,0,0,15,17,2020-2021
118,Craig Dawson,22,3,0,5,1,611,767,16,5,10.1,0,11,12,26,961,0,0,522,537,2020-2021
119,Kevin De Bruyne,25,6,12,1,0,1078,1429,77,24,21.0,10,34,48,26,1686,67,48,1029,1285,2020-2021
120,Liam Delap,1,0,0,0,0,5,6,1,0,13.0,0,0,0,0,10,0,0,5,7,2020-2021
121,Fabian Delph,8,0,0,1,0,204,233,1,0,31.9,0,5,3,2,268,10,7,170,208,2020-2021
122,Leander Dendoncker,33,1,0,4,0,1032,1212,31,8,15.0,0,54,60,38,1488,13,7,727,967,2020-2021
123,Mbaye Diagne,16,3,2,2,0,149,241,25,9,10.4,0,4,4,2,346,16,10,186,280,2020-2021
124,Amad Diallo,3,0,1,0,0,52,64,1,1,25.7,0,3,0,2,93,14,5,63,64,2020-2021
125,Ibrahima Diallo,22,0,0,3,0,503,600,7,1,22.4,0,29,16,10,722,17,10,410,496,2020-2021
126,Grady Diangana,20,1,0,0,0,260,360,14,4,17.4,0,35,43,16,579,49,25,309,378,2020-2021
