,Player Name,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SoT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
373,Jason Puncheon,6,0,0,1,0,165,214,6,0,21.3,0,7,7,3,265,7,5,151,167,2018-2019
374,Collin Quaner,2,0,0,0,0,13,17,0,0,,0,0,1,0,19,1,1,13,18,2018-2019
375,Domingos Quina,8,1,0,0,0,195,232,5,1,25.7,0,9,11,6,272,11,5,196,198,2018-2019
376,Joe Ralls,28,0,0,4,1,563,864,22,2,24.1,0,45,33,21,1055,6,5,417,491,2018-2019
377,Aaron Ramsey,28,4,6,0,0,652,807,33,13,17.2,0,34,25,7,972,23,12,574,768,2018-2019
378,Kayne Ramsey,1,0,0,0,0,14,18,0,0,,0,0,0,0,29,0,0,4,8,2018-2019
379,Marcus Rashford,33,10,6,3,1,533,729,84,39,19.2,12,24,29,27,1094,87,42,626,836,2018-2019
380,Tim Ream,26,0,0,1,0,928,1064,1,0,23.2,0,23,28,19,1235,6,6,498,762,2018-2019
381,Nathan Redmond,38,6,4,3,0,871,1205,74,22,19.9,3,45,41,54,1687,166,91,1046,1202,2018-2019
382,Bobby Reid,27,5,2,0,0,224,320,26,8,15.8,1,16,8,13,469,26,16,249,321,2018-2019
383,Declan Rice,34,2,0,4,0,1313,1524,22,5,18.3,0,98,88,51,1853,34,26,926,1055,2018-2019
384,Jazz Richards,4,0,0,0,0,24,38,0,0,,0,0,1,2,49,0,0,16,13,2018-2019
385,Richarlison,35,13,1,5,1,549,849,83,28,14.6,1,49,24,30,1307,81,39,837,906,2018-2019
386,Diego Rico,12,0,0,1,0,272,388,9,0,28.2,1,14,12,13,475,4,4,247,236,2018-2019
387,Sergio Rico,29,0,0,1,0,517,889,0,0,,0,1,1,0,980,0,0,385,350,2018-2019
388,Matt Ritchie,36,2,8,9,0,1034,1586,39,8,19.2,0,70,47,34,1948,32,15,817,994,2018-2019
389,Andrew Robertson,36,0,11,4,0,2285,2840,16,5,18.5,0,80,70,33,3126,48,28,1928,2163,2018-2019
390,Marcos Rojo,5,0,0,2,0,98,137,6,3,26.3,1,5,6,3,170,1,1,84,112,2018-2019
391,Oriol Romeu,31,1,0,11,0,878,1111,10,4,21.7,0,81,77,43,1396,23,17,636,732,2018-2019
392,Salomón Rondón,32,11,7,1,0,521,756,89,27,15.8,9,8,24,14,1134,46,18,539,880,2018-2019
393,Danny Rose,26,0,3,5,0,843,1185,15,2,19.0,0,49,32,24,1458,72,35,839,889,2018-2019
394,Aaron Rowe,2,0,0,0,0,13,20,0,0,,0,1,0,0,33,3,1,24,20,2018-2019
395,John Ruddy,1,0,0,0,0,15,21,0,0,,0,0,0,0,21,0,0,7,7,2018-2019
396,Antonio Rüdiger,33,1,0,7,0,2332,2557,27,6,18.5,0,34,27,15,2815,5,4,1805,2112,2018-2019
397,Mathew Ryan,34,0,0,2,0,564,1032,0,0,,0,1,2,0,1099,0,0,516,387,2018-2019
398,Abdelhamid Sabiri,2,0,0,0,0,7,8,0,0,,0,2,0,1,12,0,0,6,7,2018-2019
399,Romain Saïss,19,2,0,7,0,578,760,11,5,18.5,0,39,37,25,940,7,5,384,547,2018-2019
400,Bukayo Saka,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-2019
401,Mamadou Sakho,27,0,0,2,0,1177,1329,4,0,7.6,0,25,18,26,1587,11,9,832,948,2018-2019
402,Bakary Sako,4,0,0,0,0,8,13,0,0,,0,2,1,0,19,1,0,12,11,2018-2019
403,Mohamed Salah,38,22,8,1,0,846,1152,134,60,16.9,3,21,16,9,1590,151,80,1216,1272,2018-2019
404,Alexis Sánchez,20,1,3,3,0,290,409,17,9,16.9,1,17,13,7,514,27,14,319,404,2018-2019
405,Carlos Sánchez,7,0,0,0,0,127,143,3,0,27.5,0,4,8,1,165,5,3,76,108,2018-2019
406,Davinson Sánchez,23,1,1,2,0,1297,1444,14,3,9.7,0,37,37,17,1674,3,1,1114,1162,2018-2019
407,Leroy Sané,31,10,10,1,0,735,955,56,24,16.9,5,24,23,21,1228,102,55,925,968,2018-2019
408,Fabian Schär,24,4,1,12,0,687,1025,25,7,18.7,1,60,50,40,1401,22,14,642,754,2018-2019
409,Christopher Schindler,37,1,0,5,1,1288,1555,13,3,11.5,0,61,47,69,1936,2,1,861,1060,2018-2019
410,Jeffrey Schlupp,30,4,1,1,0,489,658,28,8,14.8,0,41,27,30,897,40,22,474,583,2018-2019
411,Kasper Schmeichel,38,0,0,3,0,857,1248,1,0,9.6,0,1,1,0,1319,1,1,655,529,2018-2019
412,Morgan Schneiderlin,14,0,1,2,0,484,548,3,0,17.0,0,24,14,16,651,5,2,399,422,2018-2019
413,André Schürrle,24,6,0,2,0,424,576,55,17,22.4,4,30,42,16,819,44,19,442,573,2018-2019
414,Ken Sema,17,1,2,1,0,173,248,12,3,17.3,0,15,21,7,366,34,19,232,249,2018-2019
415,Jean Seri,32,1,2,6,0,1427,1707,19,6,25.7,3,41,45,40,1919,21,16,783,1333,2018-2019
416,Ryan Sessegnon,35,2,6,0,0,567,820,28,11,14.9,0,22,22,25,1127,68,32,541,671,2018-2019
417,Xherdan Shaqiri,24,6,3,2,0,542,701,26,10,19.8,5,14,19,6,811,16,6,565,617,2018-2019
418,Luke Shaw,29,1,4,11,0,1661,2006,21,7,19.8,0,55,47,42,2317,38,27,1044,1381,2018-2019
419,Jonjo Shelvey,16,1,1,1,0,463,685,23,8,28.9,4,22,17,10,778,12,10,348,461,2018-2019
420,Gylfi Sigurðsson,38,13,6,3,0,802,1206,81,29,20.3,7,56,47,38,1590,67,38,830,960,2018-2019
421,Adrien Silva,2,0,0,0,0,69,80,0,0,,0,2,2,1,90,1,1,67,70,2018-2019
422,Bernardo Silva,36,7,7,3,0,1515,1818,62,22,15.7,0,52,67,47,2157,88,49,1518,1593,2018-2019
423,David Silva,33,6,8,2,0,1795,2108,51,18,14.1,4,30,20,18,2303,47,31,1609,1892,2018-2019
424,Xande Silva,1,0,0,0,0,3,4,2,0,15.0,0,0,0,1,8,0,0,4,6,2018-2019
425,Danny Simpson,6,0,0,0,0,104,146,0,0,,0,11,5,7,200,0,0,78,78,2018-2019
426,Jack Simpson,6,0,0,0,0,198,242,2,1,9.1,0,9,9,5,305,0,0,175,168,2018-2019
427,Josh Sims,7,0,1,0,0,32,45,5,1,17.8,0,1,3,2,70,5,4,47,44,2018-2019
428,Moussa Sissoko,29,0,3,2,0,1197,1404,15,3,24.7,0,36,29,31,1655,62,36,1061,1169,2018-2019
429,Oliver Skipp,8,0,0,0,0,122,145,2,0,16.4,0,7,6,2,173,2,2,99,119,2018-2019
430,Callum Slattery,3,0,0,0,0,22,32,1,0,15.2,0,4,7,1,54,2,1,31,31,2018-2019
431,Chris Smalling,24,1,0,1,0,829,962,11,2,9.2,0,30,17,37,1208,1,1,530,686,2018-2019
432,Adam Smith,25,1,1,5,1,863,1074,7,1,21.6,0,46,41,26,1360,48,20,760,736,2018-2019
433,Tommy Smith,15,0,0,2,1,468,629,3,0,24.5,0,26,25,12,725,5,3,309,386,2018-2019
434,Robert Snodgrass,33,2,5,10,0,859,1150,30,7,19.9,4,44,46,24,1430,61,33,782,973,2018-2019
435,Cédric Soares,18,1,2,4,0,556,791,10,3,27.6,1,22,15,21,963,12,7,418,508,2018-2019
436,Ramadan Sobhi,4,0,0,0,0,39,50,0,0,,0,1,0,2,61,5,2,46,45,2018-2019
437,Dominic Solanke,10,0,1,0,0,71,100,11,3,13.9,0,8,8,4,163,17,10,106,118,2018-2019
438,Pape Souaré,1,0,0,0,0,3,3,0,0,,0,0,0,0,4,0,0,3,3,2018-2019
439,Çağlar Söyüncü,6,0,0,1,0,187,225,2,0,12.1,0,5,6,8,272,3,2,166,160,2018-2019
440,Julián Speroni,1,0,0,0,0,15,35,0,0,,0,0,0,0,41,0,0,15,8,2018-2019
441,Junior Stanislas,23,2,3,1,0,405,548,33,9,21.0,10,12,7,8,677,26,12,427,460,2018-2019
442,Dale Stephens,30,1,1,6,1,1136,1365,11,1,27.4,0,83,74,33,1650,12,6,807,974,2018-2019
443,Jack Stephens,24,1,0,4,0,601,810,7,5,9.9,0,25,28,25,1017,7,5,433,486,2018-2019
444,Raheem Sterling,34,17,9,3,0,1107,1355,77,38,13.9,1,32,25,28,1748,152,82,1338,1438,2018-2019
445,John Stones,24,0,0,1,0,1663,1766,5,1,10.6,0,16,9,15,1892,8,6,1365,1519,2018-2019
446,Daniel Sturridge,18,2,1,1,0,153,196,18,6,20.9,0,3,3,4,253,9,5,187,215,2018-2019
447,Denis Suárez,4,0,0,0,0,32,36,0,0,,0,1,5,0,52,10,4,33,39,2018-2019
448,Isaac Success,30,1,1,4,0,253,366,29,10,17.0,0,15,5,6,532,25,14,402,441,2018-2019
449,Ki Sung-yueng,18,0,1,2,0,523,654,9,2,28.6,1,14,12,11,763,9,5,334,434,2018-2019
450,Andrew Surman,18,0,0,2,0,731,842,9,1,24.9,0,11,13,20,974,6,3,542,649,2018-2019
451,Sam Surridge,2,0,0,0,0,3,5,2,1,13.3,0,1,0,0,8,0,0,7,7,2018-2019
452,Alexander Sørloth,12,0,0,0,0,38,60,4,1,11.9,0,2,2,0,86,2,2,40,64,2018-2019
453,Matt Targett,16,1,3,2,0,443,665,11,3,17.7,1,27,26,19,807,5,1,307,405,2018-2019
454,James Tarkowski,35,3,1,8,0,792,1150,22,9,7.2,0,71,50,72,1672,9,7,565,723,2018-2019
455,Charlie Taylor,38,0,1,2,0,1233,1722,6,0,28.0,0,55,50,74,2169,76,41,830,1003,2018-2019
456,Youri Tielemans,13,3,4,2,0,551,663,31,12,24.7,2,17,17,13,787,18,12,517,594,2018-2019
457,James Tomkins,29,1,1,5,0,924,1119,22,7,12.9,0,34,28,23,1446,4,2,576,809,2018-2019
458,Lucas Torreira,34,2,2,7,1,1405,1632,25,6,23.1,2,65,57,34,1914,21,13,1089,1276,2018-2019
459,Cenk Tosun,25,3,3,3,0,183,264,37,17,14.0,0,13,13,12,401,9,2,246,297,2018-2019
460,Andros Townsend,38,6,4,1,0,861,1209,63,19,22.1,0,62,89,48,1653,100,58,1034,1106,2018-2019
461,Adama Traoré,29,1,1,1,0,228,326,19,7,19.3,0,16,9,11,503,81,65,333,362,2018-2019
462,Mark Travers,2,0,0,0,0,41,56,0,0,,0,0,0,0,65,0,0,35,21,2018-2019
463,Kieran Trippier,27,1,3,2,0,1526,2025,8,3,22.1,4,67,62,38,2267,15,7,1168,1337,2018-2019
464,Antonio Valencia,6,0,0,2,0,277,328,2,0,25.4,0,8,4,9,364,6,3,181,238,2018-2019
465,Yan Valery,23,2,1,4,1,357,590,6,5,13.0,0,42,29,24,859,41,24,374,376,2018-2019
466,Virgil van Dijk,38,4,2,1,0,2730,3049,31,8,12.9,1,38,14,29,3418,12,9,2252,2421,2018-2019
467,Jamie Vardy,34,18,4,3,1,280,445,74,33,13.3,0,14,17,16,711,32,12,366,476,2018-2019
468,Jan Vertonghen,22,1,0,4,1,1367,1586,15,2,19.3,0,39,24,18,1795,14,9,1180,1245,2018-2019
469,Jannik Vestergaard,23,0,0,2,0,661,873,14,1,15.8,2,53,45,35,1220,13,10,497,550,2018-2019
470,Luciano Vietto,20,1,4,1,0,316,411,24,7,16.1,0,15,19,9,529,27,16,322,402,2018-2019
471,Rúben Vinagre,17,0,0,1,0,296,420,4,3,20.9,0,14,5,10,516,20,13,247,293,2018-2019
472,Sam Vokes,20,3,0,0,0,136,271,22,7,11.8,0,4,0,2,375,3,3,127,314,2018-2019
473,Michel Vorm,2,0,0,0,0,51,61,0,0,,0,0,0,0,67,0,0,42,33,2018-2019
474,Matěj Vydra,13,1,1,1,0,48,75,6,3,10.5,0,2,3,4,122,7,3,67,80,2018-2019
475,Theo Walcott,37,5,2,1,0,433,633,43,21,15.1,0,27,22,17,888,59,31,613,661,2018-2019
476,Kyle Walker,33,1,1,3,0,2327,2648,21,4,27.3,2,40,38,19,2886,34,18,1837,2110,2018-2019
477,Kyle Walker-Peters,6,0,3,1,0,185,226,2,0,14.1,0,7,4,5,267,11,9,163,162,2018-2019
478,Aaron Wan-Bissaka,35,0,3,4,1,1146,1566,9,0,17.9,0,129,65,49,2143,90,61,831,907,2018-2019
479,Victor Wanyama,13,1,0,2,0,265,329,7,2,20.2,0,13,12,9,392,9,6,237,255,2018-2019
480,Danny Ward,14,1,0,0,0,50,94,11,6,15.5,0,2,3,3,151,2,0,57,105,2018-2019
481,Joel Ward,7,1,0,1,0,183,255,2,1,7.0,0,12,10,2,330,2,1,104,134,2018-2019
482,Stephen Ward,3,0,0,1,0,105,146,1,1,14.7,0,4,4,3,170,3,2,70,94,2018-2019
483,James Ward-Prowse,26,7,0,4,0,613,892,30,15,20.9,7,36,43,30,1139,11,5,472,579,2018-2019
484,Danny Welbeck,8,1,1,0,0,40,54,4,2,10.5,0,3,0,2,81,6,2,49,56,2018-2019
485,Ashley Westwood,34,2,7,5,0,1118,1525,22,7,22.2,1,58,39,38,1798,14,8,718,1006,2018-2019
486,Connor Wickham,6,0,1,0,0,5,12,5,1,12.3,0,0,0,0,28,0,0,13,20,2018-2019
487,Georginio Wijnaldum,35,3,0,3,0,1620,1791,30,8,15.3,0,41,27,21,2038,49,29,1409,1554,2018-2019
488,Danny Williams,5,0,0,1,0,19,24,1,0,30.3,0,0,0,4,35,1,1,16,18,2018-2019
489,Willian,32,3,6,2,0,1097,1413,62,22,19.9,8,35,25,16,1671,61,39,1026,1284,2018-2019
