,Player Name,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SoT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
46,Jóhann Berg Guðmundsson,29,3,6,2,0,397,620,33,9,20.0,7,27,34,25,868,40,16,454,476,2018-2019
47,Bernard,34,1,3,5,0,625,864,23,5,17.0,0,49,55,37,1180,82,40,754,797,2018-2019
48,Bernardo,22,0,1,4,0,729,1029,8,3,17.6,0,62,45,32,1295,22,14,581,590,2018-2019
49,Ryan Bertrand,24,1,0,8,0,786,1087,16,2,22.1,3,46,31,27,1342,20,6,517,661,2018-2019
50,Marcus Bettinelli,7,0,0,1,0,160,246,0,0,,0,0,0,0,267,0,0,94,107,2018-2019
51,Philip Billing,27,2,0,7,0,909,1261,42,9,23.7,3,73,42,57,1633,38,20,773,875,2018-2019
52,Yves Bissouma,28,0,0,5,0,588,730,31,3,26.1,3,62,38,21,1023,71,47,577,620,2018-2019
53,Willy Boly,36,4,0,2,1,1392,1725,24,6,11.0,0,85,56,55,2168,16,13,1090,1269,2018-2019
54,Léo Bonatini,7,0,1,0,0,45,61,9,1,13.8,0,1,5,1,78,3,1,58,64,2018-2019
55,Gaëtan Bong,22,0,0,0,0,603,888,2,0,27.1,0,16,10,16,1071,23,11,452,467,2018-2019
56,Artur Boruc,12,0,0,2,0,225,350,0,0,,0,1,3,0,378,0,0,164,100,2018-2019
57,Robbie Brady,16,0,1,3,1,157,288,12,2,22.2,2,15,17,7,378,13,7,158,199,2018-2019
58,Miguel Britos,3,0,0,0,0,47,60,0,0,,0,4,4,1,84,3,1,38,38,2018-2019
59,David Brooks,30,7,5,3,0,640,899,41,20,16.0,0,37,44,36,1231,64,24,847,870,2018-2019
60,Bruno,14,0,1,2,0,507,645,2,0,22.6,0,25,18,7,733,6,4,344,411,2018-2019
61,Joe Bryan,28,0,1,5,0,915,1293,21,7,23.4,0,61,42,34,1591,26,13,597,846,2018-2019
62,David Button,4,0,0,0,0,46,108,0,0,,0,0,0,0,116,0,0,52,36,2018-2019
63,Willy Caballero,2,0,0,0,0,51,63,0,0,,0,0,0,0,64,0,0,28,29,2018-2019
64,Gary Cahill,2,0,0,0,0,16,18,0,0,,0,0,0,0,19,0,0,11,14,2018-2019
65,Tom Cairney,31,1,1,0,0,1244,1408,24,5,23.8,0,37,16,21,1623,62,43,892,1308,2018-2019
66,Dominic Calvert-Lewin,35,6,2,3,0,266,439,52,16,14.1,0,13,15,16,702,39,21,417,551,2018-2019
67,Rafael Camacho,1,0,0,0,0,0,0,0,0,,0,1,1,0,1,0,0,0,0,2018-2019
68,Víctor Camarasa,32,5,4,6,0,710,1017,40,11,23.6,5,28,31,17,1298,62,34,703,742,2018-2019
69,Étienne Capoue,33,1,3,14,1,1480,1764,18,4,26.7,5,91,87,50,2155,42,32,1178,1259,2018-2019
70,Andy Carroll,12,0,0,2,0,83,137,14,6,12.6,0,4,4,3,201,6,3,87,154,2018-2019
71,Jonny Castro,33,1,1,6,0,1099,1405,25,7,20.0,0,79,60,45,1787,60,30,765,943,2018-2019
72,Craig Cathcart,36,3,0,2,0,1046,1288,13,5,10.2,0,50,37,42,1648,3,2,845,870,2018-2019
73,Ivan Cavaleiro,23,3,1,1,0,246,357,13,4,16.1,0,5,14,12,456,26,15,271,349,2018-2019
74,Petr Čech,7,0,0,0,0,198,270,0,0,,0,1,1,0,294,0,0,146,132,2018-2019
75,Nathaniel Chalobah,9,0,0,2,0,85,115,2,1,23.4,0,3,7,2,148,2,0,74,80,2018-2019
76,Calum Chambers,31,2,0,9,0,1175,1509,35,11,19.4,0,64,48,37,1906,32,22,739,1124,2018-2019
77,Ben Chilwell,36,0,4,4,0,1544,2217,22,10,21.4,0,55,55,37,2708,85,49,1475,1607,2018-2019
78,Tahith Chong,2,0,0,0,0,12,15,2,1,13.9,0,0,0,1,23,1,1,18,19,2018-2019
79,Hamza Choudhury,9,0,0,0,0,205,244,4,2,19.6,0,24,15,12,328,6,2,175,174,2018-2019
80,Andreas Christensen,8,0,0,1,0,426,459,0,0,,0,10,5,4,517,1,1,304,352,2018-2019
81,Cyrus Christie,28,0,1,7,0,870,1210,12,3,21.8,0,43,41,25,1490,50,27,660,834,2018-2019
82,Ibrahima Cissé,3,0,0,0,0,29,34,0,0,,0,0,1,0,45,2,1,17,23,2018-2019
83,Ciaran Clark,11,3,0,1,0,231,310,7,3,11.5,0,20,12,11,426,0,0,146,202,2018-2019
84,Tom Cleverley,13,1,0,2,0,175,225,4,2,22.4,1,17,22,4,290,3,1,144,160,2018-2019
85,Nathaniel Clyne,14,0,1,2,0,451,595,2,0,11.5,0,33,23,13,719,9,4,355,359,2018-2019
86,Nathaniel Clyne,4,0,0,0,0,67,85,3,1,28.3,0,4,4,1,103,0,0,56,56,2018-2019
87,Conor Coady,38,0,0,5,0,1427,1700,0,0,,0,31,32,35,1947,3,3,1149,1267,2018-2019
88,Joel Coleman,1,0,0,0,0,14,37,0,0,,0,0,0,0,38,0,0,17,16,2018-2019
89,Séamus Coleman,29,2,2,1,0,1228,1611,15,7,16.6,0,44,30,14,1920,44,21,959,1015,2018-2019
90,Lewis Cook,13,0,0,2,0,329,407,4,0,25.3,0,13,19,8,480,16,10,328,317,2018-2019
91,Steve Cook,31,1,1,3,0,1243,1610,21,9,16.5,0,36,27,36,1985,7,5,1068,1089,2018-2019
92,Jack Cork,37,1,2,6,0,1083,1348,17,2,16.6,0,51,46,39,1686,38,28,778,981,2018-2019
93,Hélder Costa,25,1,2,3,0,364,493,25,7,18.9,0,18,23,15,680,61,24,486,530,2018-2019
94,Aaron Cresswell,20,0,1,1,0,848,1082,11,0,22.6,2,29,25,28,1279,13,6,563,707,2018-2019
95,Peter Crouch,6,0,0,1,0,11,29,5,1,10.6,0,1,1,0,42,0,0,10,34,2018-2019
96,Greg Cunningham,7,0,0,3,0,157,220,2,1,18.7,0,18,16,9,291,1,0,93,115,2018-2019
97,Diogo Dalot,16,0,2,3,0,389,560,15,0,24.3,0,24,19,15,700,16,11,309,384,2018-2019
98,Matty Daly,2,0,0,0,0,7,13,0,0,,0,0,0,0,15,1,0,10,11,2018-2019
99,Loïc Damour,2,0,0,0,0,8,12,1,0,27.4,0,0,1,0,15,0,0,7,12,2018-2019
100,Charlie Daniels,21,1,0,4,0,799,1024,12,3,20.0,0,25,22,14,1200,21,12,660,680,2018-2019
101,Danilo,11,1,0,1,0,762,880,14,3,25.3,0,20,17,5,979,13,8,566,670,2018-2019
102,Scott Dann,10,0,1,1,0,193,268,6,1,12.6,0,6,7,16,354,3,3,131,161,2018-2019
103,Matteo Darmian,6,0,0,0,0,180,212,1,1,25.1,0,14,11,9,269,3,1,117,151,2018-2019
104,Ben Davies,27,0,0,2,0,1065,1320,14,1,20.9,0,56,54,23,1564,16,4,864,943,2018-2019
105,Tom Davies,16,0,0,3,0,406,515,7,2,18.9,0,27,23,15,646,17,13,395,419,2018-2019
106,Steven Davis,3,0,1,0,0,65,69,0,0,,0,2,0,2,81,0,0,45,52,2018-2019
107,Kevin De Bruyne,19,2,2,2,0,635,834,31,12,23.9,3,22,21,13,963,27,19,652,727,2018-2019
108,Troy Deeney,32,9,5,4,1,508,858,63,29,14.8,0,24,32,22,1165,20,6,544,850,2018-2019
109,Jermain Defoe,4,0,0,0,0,1,3,1,1,8.8,0,0,0,0,5,0,0,0,0,2018-2019
110,Steven Defour,6,0,0,0,0,203,255,0,0,,0,8,14,11,291,3,1,130,190,2018-2019
111,Fabian Delph,11,0,1,1,1,700,766,4,3,27.0,0,23,23,3,845,9,8,605,615,2018-2019
112,Mousa Dembélé,10,0,0,1,0,277,309,1,0,27.5,0,13,7,4,357,8,7,222,241,2018-2019
113,Leander Dendoncker,19,2,0,1,0,484,615,17,10,14.1,0,53,47,35,816,12,12,314,477,2018-2019
114,Laurent Depoitre,23,0,1,1,0,164,278,30,6,12.9,0,6,3,9,428,15,5,196,328,2018-2019
115,Gerard Deulofeu,30,10,5,3,0,568,793,60,22,16.9,6,11,26,16,1072,89,47,755,777,2018-2019
116,Fousseni Diabaté,1,0,0,0,0,9,16,0,0,,0,2,1,2,21,0,0,12,14,2018-2019
117,Adama Diakhaby,12,0,0,1,0,114,162,7,3,19.1,0,6,11,7,231,21,12,171,188,2018-2019
118,Mohamed Diamé,29,0,0,3,0,569,749,20,3,23.5,0,76,54,42,1050,29,16,449,562,2018-2019
119,Grady Diangana,17,0,1,0,0,196,265,10,3,16.8,0,20,14,11,384,38,21,210,255,2018-2019
120,Eric Dier,20,3,0,4,0,923,1093,9,3,12.0,0,26,47,27,1253,7,2,771,905,2018-2019
121,Lucas Digne,35,4,4,5,1,1478,2119,34,10,25.0,11,71,45,43,2503,30,14,1093,1200,2018-2019
122,Issa Diop,33,1,0,4,0,979,1141,12,4,10.1,0,68,57,58,1540,9,6,679,796,2018-2019
123,Matt Doherty,38,4,5,5,0,1324,1838,46,17,12.9,0,67,58,49,2288,49,20,904,1264,2018-2019
124,Abdoulaye Doucouré,35,5,6,7,0,1622,1963,52,16,17.6,0,71,57,31,2320,55,32,1448,1556,2018-2019
125,Luke Dreher,1,0,0,0,0,3,3,0,0,,0,0,0,0,3,0,0,2,3,2018-2019
126,Martin Dúbravka,38,0,0,1,0,691,1175,0,0,,0,2,3,0,1254,1,1,618,436,2018-2019
127,Shane Duffy,35,5,1,4,1,987,1318,37,14,10.6,0,35,25,57,1775,5,5,734,919,2018-2019
128,Demeaco Duhaney,1,0,0,0,0,21,27,0,0,,0,1,3,2,38,2,0,20,21,2018-2019
129,Paul Dummett,26,0,0,1,0,625,903,9,1,22.1,0,34,32,25,1173,3,2,404,553,2018-2019
130,Lewis Dunk,36,2,1,6,1,1246,1510,20,4,14.1,2,42,39,49,1927,4,0,892,1056,2018-2019
131,Erik Durm,28,0,1,0,0,740,1087,10,0,21.1,0,35,33,26,1306,21,12,564,636,2018-2019
132,Bruno Ecuele Manga,38,0,1,0,0,692,1097,10,3,13.4,0,69,58,62,1529,14,10,549,469,2018-2019
133,Ederson,38,0,1,2,0,946,1112,0,0,,0,3,3,0,1162,1,1,722,621,2018-2019
134,Harvey Elliott,2,0,0,0,0,10,11,1,1,16.6,0,0,0,1,15,0,0,9,11,2018-2019
135,Mohamed Elneny,8,0,0,0,0,256,286,7,0,17.6,0,13,2,7,335,3,1,192,254,2018-2019
136,Mohamed Elyounoussi,16,0,0,0,0,178,273,20,6,18.0,0,16,19,11,379,20,11,194,230,2018-2019
137,Christian Eriksen,35,8,12,3,0,1560,2009,83,28,23.3,12,41,59,26,2305,36,18,1442,1680,2018-2019
138,Neil Etheridge,38,0,0,2,0,415,1202,0,0,,0,1,2,0,1326,0,0,505,398,2018-2019
139,Jonny Evans,24,1,0,2,0,873,1031,11,3,9.9,0,24,18,28,1316,0,0,703,737,2018-2019
140,Łukasz Fabiański,38,0,0,0,0,681,1238,0,0,,0,1,3,0,1336,2,2,617,409,2018-2019
141,Fabinho,28,1,2,6,0,1381,1627,17,4,24.2,0,59,59,34,1847,16,10,1141,1334,2018-2019
142,Cesc Fàbregas,6,0,0,1,0,169,198,1,0,17.4,0,6,5,2,216,1,0,116,177,2018-2019
143,Fabricio,2,0,0,0,0,46,61,0,0,,0,1,0,0,75,0,0,25,23,2018-2019
144,Marouane Fellaini,14,0,1,1,0,347,434,7,3,15.8,0,21,17,9,548,4,1,236,376,2018-2019
145,Kiko Femenía,29,1,1,1,0,945,1178,6,2,24.2,0,48,51,24,1404,22,13,769,774,2018-2019
146,Federico Fernández,19,0,1,2,0,484,620,4,1,14.4,0,16,18,19,812,0,0,369,433,2018-2019
147,Fernandinho,29,1,3,5,0,1799,2070,30,7,23.2,0,57,47,28,2356,26,19,1610,1766,2018-2019
148,Roberto Firmino,34,12,6,0,0,1053,1314,74,32,15.3,0,30,34,35,1629,71,49,1079,1313,2018-2019
149,Phil Foden,13,1,0,0,0,202,237,14,6,15.5,0,7,9,1,279,11,8,208,232,2018-2019
150,Fraser Forster,1,0,0,0,0,10,23,0,0,,0,0,0,0,27,0,0,10,7,2018-2019
151,Ben Foster,38,0,0,1,0,612,1267,1,0,28.3,0,2,6,0,1391,0,0,603,423,2018-2019
152,Timothy Fosu-Mensah,12,0,0,3,0,375,479,4,1,27.3,0,18,13,11,563,12,8,241,363,2018-2019
153,Juan Foyth,12,1,0,3,1,512,605,4,1,11.1,0,31,19,12,738,22,19,478,482,2018-2019
154,Simon Francis,17,0,2,1,0,590,812,3,1,27.2,1,25,24,15,977,9,5,507,540,2018-2019
155,Ryan Fraser,38,7,14,2,0,1013,1490,51,25,19.9,4,19,32,23,1768,53,24,1204,1243,2018-2019
156,Fred,17,1,1,2,0,673,791,17,2,25.3,1,29,33,26,937,16,10,558,658,2018-2019
157,Ryan Fredericks,15,1,0,5,0,391,558,5,2,19.2,0,38,32,15,704,21,12,281,357,2018-2019
158,Christian Fuchs,3,0,0,0,0,119,157,2,0,21.6,0,4,2,0,183,1,1,99,105,2018-2019
159,Manolo Gabbiadini,12,1,0,0,0,83,127,20,8,23.7,1,6,2,5,191,8,2,89,127,2018-2019
160,Sam Gallagher,4,0,0,0,0,1,6,0,0,,0,0,0,1,13,0,0,5,9,2018-2019
161,Idrissa Gana Gueye,33,0,2,6,0,1472,1761,19,4,24.3,0,142,76,52,2147,31,23,1225,1291,2018-2019
162,James Garner,1,0,0,0,0,0,1,0,0,,0,0,0,0,1,0,0,1,0,2018-2019
163,Paulo Gazzaniga,3,0,0,0,0,74,108,0,0,,0,0,0,0,113,0,0,64,55,2018-2019
164,David de Gea,38,0,0,1,0,719,1106,0,0,,0,0,2,1,1179,0,0,519,423,2018-2019
165,Rachid Ghezzal,19,1,0,3,0,353,471,19,5,20.1,1,14,18,10,574,29,19,376,408,2018-2019
166,Morgan Gibbs-White,26,0,1,1,0,272,336,8,1,18.4,0,6,4,6,411,19,12,235,306,2018-2019
167,Ben Gibson,1,1,0,1,0,23,34,1,1,2.3,0,1,0,1,38,0,0,20,23,2018-2019
168,Olivier Giroud,27,2,4,1,0,178,263,32,10,11.4,0,3,4,6,355,5,2,144,295,2018-2019
169,André Gomes,27,1,1,7,0,1026,1224,21,5,21.3,0,39,59,27,1438,55,40,901,1012,2018-2019
170,Angel Gomes,2,0,0,0,0,20,22,2,1,19.6,0,1,0,0,26,0,0,18,21,2018-2019
171,Joe Gomez,16,0,0,2,0,717,839,5,1,16.2,0,18,15,10,940,5,4,608,637,2018-2019
172,Jon Gorenc Stanković,11,1,0,2,0,224,297,9,2,16.2,0,26,26,16,394,2,1,186,208,2018-2019
173,Dan Gosling,25,2,1,8,0,776,980,21,7,18.5,0,57,53,33,1206,20,12,698,763,2018-2019
174,Karlan Grant,13,4,0,0,0,149,223,21,11,15.8,0,5,3,8,320,26,12,194,231,2018-2019
175,Andre Gray,29,7,2,2,0,160,248,35,16,14.8,0,3,6,3,396,23,8,281,311,2018-2019
176,Demarai Gray,34,4,1,2,0,518,717,47,19,19.7,1,25,16,19,969,73,42,688,704,2018-2019
177,Mason Greenwood,3,0,0,0,0,51,61,7,4,13.4,0,3,3,2,84,6,3,52,65,2018-2019
178,Pascal Groß,25,3,3,1,0,661,965,22,7,18.0,1,27,36,20,1148,7,4,600,738,2018-2019
179,Vicente Guaita,20,0,0,2,0,299,597,0,0,,0,0,0,0,631,0,0,278,175,2018-2019
180,Mattéo Guendouzi,33,0,0,9,0,1409,1625,16,4,24.4,0,44,47,28,1836,32,23,1223,1389,2018-2019
181,İlkay Gündoğan,31,6,3,3,0,1845,2108,43,11,19.5,2,19,31,12,2295,24,19,1529,1815,2018-2019
182,Angus Gunn,12,0,0,0,0,119,310,0,0,,0,0,0,0,338,1,0,139,93,2018-2019
183,Aron Gunnarsson,28,1,1,5,0,600,921,20,4,22.2,0,51,84,40,1192,13,11,347,412,2018-2019
184,Florent Hadergjonaj,24,0,0,1,0,688,973,6,2,19.6,0,30,37,21,1146,22,10,521,665,2018-2019
185,Ben Hamer,7,0,0,0,0,97,204,0,0,,0,0,3,0,224,0,0,106,84,2018-2019
186,Kadeem Harris,13,1,0,1,0,66,104,5,3,16.4,0,12,8,3,169,16,7,103,113,2018-2019
187,Joe Hart,19,0,0,0,0,302,622,0,0,,0,0,1,0,685,0,0,218,185,2018-2019
188,Isaac Hayden,25,1,4,3,1,586,749,22,5,22.2,0,73,41,32,1009,16,12,371,507,2018-2019
189,Eden Hazard,37,16,15,2,0,1581,1985,89,39,18.0,2,14,17,10,2358,204,137,1728,2026,2018-2019
190,Rhys Healey,3,0,0,0,0,4,14,1,0,20.4,0,1,1,0,21,2,1,11,12,2018-2019
191,Tom Heaton,19,0,0,3,0,294,592,1,0,11.8,0,0,2,0,636,1,1,254,180,2018-2019
192,Jordan Henderson,32,1,3,2,1,1553,1815,16,1,18.8,0,46,39,27,2002,14,7,1358,1486,2018-2019
193,Jeff Hendrick,32,3,0,4,0,503,690,19,6,16.8,1,24,32,20,891,28,12,417,536,2018-2019
194,Wayne Hennessey,18,0,0,0,0,275,519,0,0,,0,0,2,0,558,0,0,228,167,2018-2019
195,Javier Hernández,25,7,1,2,0,229,334,37,17,12.8,0,3,6,8,453,23,13,273,374,2018-2019
196,Ander Herrera,22,2,3,4,0,862,990,21,8,20.1,0,54,61,38,1205,17,12,594,829,2018-2019
197,Son Heung-min,31,12,6,2,1,655,785,74,29,19.3,1,23,34,26,1076,84,48,770,841,2018-2019
198,Gonzalo Higuaín,14,5,0,0,0,244,320,46,14,15.1,0,10,11,4,428,21,9,272,364,2018-2019
199,Wesley Hoedt,13,0,0,2,0,492,631,6,1,15.8,0,28,26,20,800,7,6,345,449,2018-2019
200,Jonathan Hogg,29,0,1,8,1,1289,1556,8,1,20.7,0,78,69,46,1835,11,9,905,1088,2018-2019
201,Junior Hoilett,32,3,1,4,0,338,537,40,9,19.3,1,40,53,34,852,62,23,482,475,2018-2019
202,Rob Holding,10,0,0,1,0,540,618,2,0,20.1,0,11,8,9,710,5,3,453,512,2018-2019
203,José Holebas,28,3,6,12,1,810,1335,17,5,23.4,4,68,53,27,1654,45,22,574,600,2018-2019
204,Mason Holgate,5,0,0,1,0,197,256,0,0,,0,5,1,3,298,2,2,184,187,2018-2019
205,Callum Hudson-Odoi,10,0,1,0,0,185,231,6,3,12.6,0,8,4,1,283,17,12,197,231,2018-2019
206,Will Hughes,32,2,4,5,0,736,991,31,7,17.2,0,74,59,55,1377,42,27,837,892,2018-2019
207,Emerson Hyndman,1,0,0,0,0,16,23,0,0,,0,6,3,0,29,0,0,16,17,2018-2019
208,Pierre Højbjerg,31,4,3,8,2,1503,1835,53,19,24.2,2,71,73,51,2226,36,23,1179,1407,2018-2019
209,Jordon Ibe,19,1,1,1,0,213,288,9,3,16.9,0,6,7,2,387,52,26,294,285,2018-2019
210,Vicente Iborra,8,0,0,0,0,127,147,2,1,10.6,0,4,7,1,165,0,0,99,114,2018-2019
211,Kelechi Iheanacho,30,1,3,2,0,216,287,18,6,18.0,0,6,5,5,378,17,9,241,299,2018-2019
212,Danny Ings,24,7,3,1,0,281,409,53,19,15.4,0,30,28,30,647,37,20,371,452,2018-2019
213,Alex Iwobi,35,3,6,0,0,767,1028,35,14,15.8,0,28,25,21,1297,85,46,895,1065,2018-2019
214,José Izquierdo,15,0,1,1,0,156,216,15,3,21.2,0,15,20,7,313,24,13,205,192,2018-2019
215,Phil Jagielka,7,1,0,0,1,144,193,1,1,4.4,0,7,4,1,225,0,0,99,124,2018-2019
216,Alireza Jahanbakhsh,19,0,0,2,0,201,308,21,6,23.4,0,32,30,16,475,36,11,278,284,2018-2019
217,Daryl Janmaat,18,0,2,3,0,560,782,11,1,21.2,0,36,29,16,991,19,12,454,466,2018-2019
218,Vincent Janssen,3,0,0,0,0,8,11,3,1,11.3,0,2,0,0,19,1,1,8,14,2018-2019
219,Carl Jenkinson,3,0,0,0,0,71,91,0,0,,0,3,3,4,108,0,0,46,68,2018-2019
220,Gabriel Jesus,29,7,3,1,0,294,362,42,22,11.6,0,10,5,16,535,38,22,382,423,2018-2019
221,Raúl Jiménez,38,13,7,4,0,784,1097,109,31,14.6,0,30,23,25,1528,69,34,862,1118,2018-2019
222,Stefan Johansen,12,0,0,4,0,202,261,1,0,33.2,1,11,8,5,299,3,2,135,196,2018-2019
223,Ben Johnson,1,0,0,0,0,19,22,0,0,,0,1,1,0,33,2,0,10,13,2018-2019
224,Tyreke Johnson,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-2019
225,Phil Jones,18,0,1,1,0,702,760,5,2,17.2,0,19,13,16,913,3,3,469,570,2018-2019
226,Jorginho,37,2,0,8,0,2785,3133,18,6,26.2,0,76,96,46,3451,27,15,1921,2697,2018-2019
227,Joselu,16,2,0,1,0,130,212,17,5,13.8,0,14,9,5,295,5,1,108,217,2018-2019
228,Diogo Jota,33,9,5,11,0,574,789,58,24,14.0,0,28,38,20,1131,119,57,685,840,2018-2019
229,Mathias Jørgensen,24,3,1,6,0,974,1191,8,4,13.6,0,49,46,29,1445,4,3,722,802,2018-2019
230,Christian Kabasele,21,0,0,4,1,407,555,8,2,9.0,0,25,23,21,783,1,0,354,391,2018-2019
231,Elias Kachunga,20,0,0,2,0,220,317,14,3,15.1,0,22,25,16,452,26,10,249,299,2018-2019
232,Aboubakar Kamara,13,3,0,2,0,170,248,19,8,19.7,0,8,7,6,352,20,12,187,248,2018-2019
233,Harry Kane,28,17,4,5,0,419,578,98,42,17.0,5,10,14,16,903,82,40,625,723,2018-2019
234,N'Golo Kanté,36,4,4,3,0,1789,2056,29,6,18.3,0,75,67,63,2431,57,32,1317,1769,2018-2019
235,Beram Kayal,18,1,1,4,0,194,283,5,2,19.9,0,28,21,17,415,20,11,193,198,2018-2019
236,Michael Keane,33,1,2,2,0,1292,1606,31,9,10.6,0,41,32,30,1974,7,6,994,1130,2018-2019
237,Neeskens Kebano,7,0,0,0,0,25,31,1,0,8.0,0,3,1,3,47,5,4,29,31,2018-2019
238,Naby Keïta,25,2,1,0,0,889,1011,27,9,18.1,0,37,42,29,1226,43,24,847,951,2018-2019
239,Martin Kelly,13,0,0,2,0,270,359,3,1,8.7,0,21,19,18,513,1,0,207,248,2018-2019
240,Kenedy,25,1,1,1,0,374,533,30,5,22.8,1,30,29,10,761,55,30,424,419,2018-2019
241,Jonjoe Kenny,10,0,1,1,0,423,573,3,0,22.8,0,21,18,13,692,10,5,312,331,2018-2019
242,Max Kilman,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-2019
243,Joshua King,35,12,3,3,0,588,858,66,18,16.3,0,30,29,28,1289,126,65,926,983,2018-2019
244,Anthony Knockaert,30,2,6,4,1,519,736,27,9,18.4,2,33,30,13,960,64,31,568,595,2018-2019
245,Sead Kolašinac,24,0,5,5,0,951,1229,9,2,17.5,0,34,34,12,1416,24,13,658,862,2018-2019
246,Vincent Kompany,17,1,0,6,0,1142,1229,5,1,18.4,0,16,9,11,1349,4,3,905,1069,2018-2019
247,Terence Kongolo,32,1,1,4,0,978,1275,14,4,14.9,0,74,47,42,1634,18,10,762,919,2018-2019
248,Laurent Koscielny,17,3,0,1,0,820,895,5,4,6.9,0,19,16,20,1056,1,1,569,698,2018-2019
249,Cheikhou Kouyaté,31,0,2,3,0,622,781,20,8,21.2,0,59,33,29,1021,23,12,435,574,2018-2019
250,Mateo Kovačić,32,0,2,3,0,1359,1484,28,4,21.2,0,45,46,19,1699,55,42,1110,1405,2018-2019
251,Rajiv van La Parra,5,0,0,0,0,94,116,5,0,22.8,0,8,6,0,176,17,7,124,128,2018-2019
252,Alexandre Lacazette,35,13,8,2,0,581,807,81,28,14.4,1,35,28,27,1149,69,46,649,886,2018-2019
253,Adam Lallana,13,0,0,1,0,251,312,5,1,17.2,0,16,12,10,384,11,8,243,282,2018-2019
254,Érik Lamela,19,4,2,2,0,362,454,29,11,16.9,1,17,14,14,586,34,20,396,427,2018-2019
255,Manuel Lanzini,10,1,1,2,0,409,472,11,4,20.0,3,12,18,3,538,18,13,350,435,2018-2019
256,Aymeric Laporte,35,3,3,3,0,2804,3053,26,7,16.0,0,42,34,16,3319,6,3,2510,2617,2018-2019
257,Jamaal Lascelles,32,0,1,4,0,848,1111,11,1,11.2,0,32,14,43,1497,1,1,544,702,2018-2019
258,Maxime Le Marchand,26,0,1,5,0,1216,1488,5,0,13.2,0,56,47,30,1794,15,10,740,1059,2018-2019
259,Florian Lejeune,12,0,0,0,0,433,575,7,2,15.9,0,25,24,16,710,4,3,327,404,2018-2019
260,Mario Lemina,21,1,1,5,0,704,826,25,5,22.2,0,49,34,27,1069,35,23,557,685,2018-2019
261,Aaron Lennon,16,1,1,1,0,227,307,4,2,13.4,0,26,14,24,431,15,7,201,261,2018-2019
262,Bernd Leno,32,0,0,0,0,817,1105,0,0,,0,0,3,0,1188,0,0,605,514,2018-2019
263,Jefferson Lerma,30,2,0,12,0,1301,1568,31,8,25.8,0,45,54,35,1900,29,20,1172,1166,2018-2019
264,Stephan Lichtsteiner,14,0,0,3,0,451,596,1,0,29.8,0,15,16,11,687,7,4,326,435,2018-2019
265,Victor Lindelöf,30,1,1,1,0,1339,1504,8,1,9.3,0,40,23,21,1762,8,8,1009,1146,2018-2019
266,Jesse Lingard,27,4,2,3,0,664,795,31,13,17.6,0,29,28,18,979,29,13,542,758,2018-2019
267,Fernando Llorente,20,1,4,2,0,148,226,24,5,10.6,0,4,3,7,319,5,5,156,249,2018-2019
268,Hugo Lloris,33,0,0,0,0,928,1208,0,0,,0,1,2,0,1282,0,0,736,642,2018-2019
269,Jürgen Locadia,26,2,0,1,0,249,348,27,9,17.8,1,15,7,8,487,8,5,275,343,2018-2019
270,Ruben Loftus-Cheek,24,6,2,0,0,539,616,28,8,16.2,0,18,12,10,783,64,41,502,595,2018-2019
271,Kevin Long,6,0,1,0,0,138,170,1,0,10.1,0,18,17,7,244,1,1,88,113,2018-2019
272,Shane Long,26,5,1,3,0,198,321,30,10,14.5,0,15,16,10,509,12,4,241,397,2018-2019
273,Sean Longstaff,9,1,0,2,0,239,297,8,2,23.6,0,17,24,19,375,6,5,158,197,2018-2019
274,Ademola Lookman,21,0,2,0,0,224,274,12,3,18.6,0,15,6,10,372,35,23,269,280,2018-2019
275,Jonas Lössl,31,0,1,1,0,711,1105,0,0,,0,0,1,1,1168,1,1,555,520,2018-2019
276,Dejan Lovren,13,1,0,1,0,715,829,6,1,12.6,0,15,15,11,941,1,0,574,659,2018-2019
277,Chris Löwe,29,0,2,2,0,767,1109,18,6,24.2,1,34,33,21,1299,13,9,589,736,2018-2019
278,Matthew Lowton,21,0,0,7,0,626,914,4,0,23.5,0,56,60,29,1148,21,12,371,459,2018-2019
279,David Luiz,36,3,2,3,0,2317,2643,34,8,18.1,9,41,28,33,2984,17,10,1950,2158,2018-2019
280,Romelu Lukaku,32,12,0,4,0,359,581,55,32,11.3,0,8,10,12,780,40,21,432,627,2018-2019
281,James Maddison,36,7,7,4,1,1244,1623,81,26,22.4,15,48,58,20,1920,73,50,1248,1368,2018-2019
282,Gary Madine,5,0,0,0,0,10,12,0,0,,0,1,0,0,16,0,0,9,12,2018-2019
283,Harry Maguire,31,3,0,6,1,1499,1753,30,12,14.4,0,31,17,32,2079,20,17,1303,1319,2018-2019
284,Riyad Mahrez,27,7,4,0,0,700,884,53,25,17.4,1,14,18,18,1059,40,25,819,811,2018-2019
285,Ainsley Maitland-Niles,16,1,1,2,1,453,575,5,3,15.4,0,33,28,22,728,33,19,338,410,2018-2019
286,Sadio Mané,36,22,1,2,0,946,1243,87,42,13.0,0,35,43,28,1641,101,51,1231,1295,2018-2019
