,Player Name,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SoT,distance,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
404,Bukayo Saka,26,1,5,6,0,646,845,13,4,17.9,0,36,37,12,1048,55,32,602,692,2019-2020
405,Mamadou Sakho,14,0,0,1,1,472,539,0,0,,0,7,5,12,641,5,4,357,400,2019-2020
406,Mohamed Salah,34,19,10,1,0,767,1035,129,56,15.0,4,16,22,3,1368,83,50,1037,1090,2019-2020
407,Mbwana Samatta,14,1,0,1,0,119,176,17,3,10.8,0,6,8,7,270,15,9,137,195,2019-2020
408,Carlos Sánchez,6,0,0,0,0,48,59,0,0,,0,1,1,1,64,1,1,29,34,2019-2020
409,Davinson Sánchez,29,0,0,6,0,1340,1564,7,3,10.9,0,44,44,40,1857,10,8,1188,1213,2019-2020
410,Leroy Sané,1,0,0,0,0,6,7,2,0,26.5,1,0,0,0,9,0,0,7,8,2019-2020
411,Ismaila Sarr,28,5,4,1,0,420,594,44,13,15.8,0,11,23,9,868,96,47,680,678,2019-2020
412,Fabian Schär,22,2,0,5,0,590,804,20,6,21.4,1,39,40,35,1053,24,16,530,556,2019-2020
413,Ezequiel Schelotto,8,0,0,2,0,121,175,4,1,11.3,0,4,8,3,232,8,5,114,129,2019-2020
414,Jeffrey Schlupp,17,3,1,2,0,251,344,18,9,18.7,0,18,16,11,486,24,13,245,314,2019-2020
415,Kasper Schmeichel,38,0,0,2,0,934,1198,1,0,56.1,1,1,2,0,1264,1,0,693,561,2019-2020
416,Morgan Schneiderlin,15,0,0,6,1,484,570,6,0,21.4,0,31,24,13,685,3,3,396,435,2019-2020
417,Ryan Sessegnon,6,0,0,0,0,145,196,1,0,17.0,0,6,6,0,233,6,4,151,147,2019-2020
418,Xherdan Shaqiri,7,1,0,0,0,89,110,4,1,20.4,0,1,1,0,125,4,2,93,95,2019-2020
419,Billy Sharp,25,3,2,1,1,158,224,16,7,9.6,0,6,6,2,320,22,16,219,254,2019-2020
420,Luke Shaw,24,0,0,7,0,1125,1317,11,5,18.2,0,34,33,26,1508,31,22,788,976,2019-2020
421,Jonjo Shelvey,26,6,2,3,0,827,1149,45,14,26.7,8,29,42,14,1353,20,15,714,806,2019-2020
422,Djibril Sidibé,25,0,4,3,0,924,1205,12,3,24.0,0,83,72,19,1469,25,14,778,810,2019-2020
423,Gylfi Sigurðsson,35,2,3,3,0,890,1156,45,12,22.8,5,50,70,30,1431,30,16,720,844,2019-2020
424,Bernardo Silva,34,6,7,5,0,1284,1474,52,15,14.2,0,36,44,25,1711,55,40,1256,1323,2019-2020
425,David Silva,27,6,10,0,0,1332,1527,47,18,14.4,5,26,28,18,1709,44,33,1225,1407,2019-2020
426,Jack Simpson,4,0,0,0,0,75,107,1,0,15.3,0,5,8,1,133,5,4,66,66,2019-2020
427,Moussa Sissoko,29,2,1,8,0,1135,1322,15,4,15.2,0,39,48,19,1585,67,40,1014,1013,2019-2020
428,Oliver Skipp,7,0,0,0,0,34,38,0,0,,0,2,4,3,46,0,0,27,28,2019-2020
429,William Smallbone,9,0,2,0,0,175,213,6,0,22.8,0,10,10,7,255,1,0,129,182,2019-2020
430,Adam Smith,24,0,1,7,0,827,1044,4,1,19.5,0,47,50,27,1321,51,24,732,728,2019-2020
431,Emile Smith Rowe,2,0,0,0,0,30,36,0,0,,0,1,3,0,46,3,2,32,39,2019-2020
432,Robert Snodgrass,24,5,5,4,0,433,646,21,10,16.8,0,29,44,12,802,36,19,407,494,2019-2020
433,Cédric Soares,5,1,0,0,0,96,135,1,1,26.4,0,8,3,3,167,2,2,84,92,2019-2020
434,Cédric Soares,16,0,1,1,0,513,737,9,4,20.2,0,45,41,18,931,4,4,340,409,2019-2020
435,Dominic Solanke,32,3,1,1,0,301,439,32,8,14.8,0,8,33,9,667,62,26,418,469,2019-2020
436,Tomáš Souček,13,3,0,0,0,277,399,20,7,12.8,0,29,23,7,546,4,0,253,288,2019-2020
437,Çağlar Söyüncü,34,1,1,4,1,2086,2342,17,5,10.3,0,60,46,35,2700,22,17,1779,1864,2019-2020
438,Dennis Srbeny,8,1,0,0,0,13,18,2,1,7.8,0,5,3,1,31,5,2,20,22,2019-2020
439,Jack Stacey,19,0,2,2,0,562,785,5,2,12.3,0,21,22,27,964,23,16,498,478,2019-2020
440,Junior Stanislas,15,3,0,1,0,214,306,17,6,20.4,3,10,8,6,387,18,11,220,236,2019-2020
441,Jed Steer,1,0,0,0,0,1,2,0,0,,0,0,0,0,2,0,0,0,1,2019-2020
442,Dale Stephens,33,0,1,8,0,1440,1687,19,2,25.6,0,73,75,31,1969,12,10,987,1336,2019-2020
443,Jack Stephens,28,1,3,4,1,933,1299,6,1,9.2,0,44,46,38,1592,11,7,784,858,2019-2020
444,Raheem Sterling,33,20,1,5,0,984,1231,97,36,14.0,1,27,28,16,1608,107,56,1216,1319,2019-2020
445,Enda Stevens,38,2,4,7,0,1383,1902,22,4,17.8,0,81,96,27,2290,84,61,1136,1336,2019-2020
446,Marco Stiepermann,24,0,0,6,0,290,413,19,6,17.3,0,20,21,11,561,29,17,358,413,2019-2020
447,John Stones,16,0,0,0,0,977,1039,6,1,9.6,0,16,5,5,1127,5,5,835,869,2019-2020
448,Isaac Success,5,0,0,1,0,14,20,1,1,10.7,0,0,0,0,32,3,1,28,30,2019-2020
449,Ki Sung-yueng,3,0,0,0,0,63,71,0,0,,0,1,3,1,78,2,2,42,51,2019-2020
450,Andrew Surman,5,0,0,1,0,105,130,1,0,26.6,0,4,3,1,152,0,0,87,85,2019-2020
451,Sam Surridge,4,0,0,0,0,5,11,2,0,11.9,0,0,0,1,22,2,1,12,16,2019-2020
452,Japhet Tanganga,6,0,0,1,0,190,236,3,1,27.1,0,17,17,7,325,7,6,175,161,2019-2020
453,Matt Targett,28,1,2,4,0,883,1229,7,4,16.5,1,52,53,28,1508,21,8,641,770,2019-2020
454,James Tarkowski,38,2,2,10,0,960,1365,21,5,9.1,0,66,54,63,1836,13,13,700,798,2019-2020
455,Charlie Taylor,24,0,1,3,0,747,1075,1,0,22.2,0,39,39,29,1346,40,19,529,615,2019-2020
456,Neil Taylor,14,0,0,2,0,410,522,3,0,15.1,0,16,20,15,634,2,2,252,327,2019-2020
457,Nathan Tella,1,0,0,0,0,0,1,1,1,17.7,0,0,0,0,2,0,0,1,2,2019-2020
458,Alexander Tettey,30,1,1,5,0,1142,1299,23,3,24.7,0,23,39,20,1537,20,15,924,957,2019-2020
459,Jordan Thomas,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2019-2020
460,Luke Thomas,3,0,1,0,0,154,196,0,0,,0,1,3,2,223,3,3,116,149,2019-2020
461,Max Thompson,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2019-2020
462,Youri Tielemans,37,3,6,2,0,1504,1885,56,13,23.8,0,52,74,43,2177,48,29,1312,1615,2019-2020
463,Kieran Tierney,15,1,1,2,0,426,571,6,2,20.6,0,20,15,10,676,15,12,355,390,2019-2020
464,James Tomkins,18,1,1,5,0,535,676,9,2,8.9,0,29,25,17,883,2,1,354,464,2019-2020
465,Fikayo Tomori,15,1,0,3,0,1019,1167,7,3,14.6,0,29,15,13,1322,12,9,911,972,2019-2020
466,Lucas Torreira,29,1,1,7,0,798,919,21,6,18.8,0,31,39,24,1094,23,17,605,719,2019-2020
467,Cenk Tosun,5,1,0,0,0,28,44,4,2,12.4,0,2,2,0,66,6,6,41,54,2019-2020
468,Cenk Tosun,5,1,0,0,0,39,60,11,3,14.2,0,2,1,1,90,1,1,57,71,2019-2020
469,Andros Townsend,24,1,1,0,0,328,473,12,5,26.1,1,34,37,18,642,53,38,405,407,2019-2020
470,Adama Traoré,37,4,9,1,0,614,952,43,12,19.8,0,33,23,19,1335,246,183,946,1011,2019-2020
471,Mark Travers,1,0,0,0,0,20,30,0,0,,0,0,0,0,32,0,0,22,15,2019-2020
472,Trézéguet,34,6,1,4,1,291,441,50,17,17.4,4,38,44,23,762,64,30,477,495,2019-2020
473,Leandro Trossard,31,5,3,0,0,562,802,41,11,16.0,0,22,38,16,1026,53,29,690,753,2019-2020
474,Tom Trybull,16,0,0,2,0,566,615,11,2,18.4,0,39,60,20,776,7,6,471,484,2019-2020
475,Axel Tuanzebe,5,0,0,0,0,132,149,0,0,,0,2,2,1,176,3,0,88,114,2019-2020
476,Yan Valery,11,0,0,1,0,191,320,3,2,15.5,0,20,19,9,453,27,14,173,172,2019-2020
477,Jesús Vallejo,2,0,0,1,0,92,119,0,0,,0,1,2,4,139,1,1,74,93,2019-2020
478,Virgil van Dijk,38,5,1,1,0,2919,3276,31,14,11.8,0,23,13,20,3588,4,3,2484,2580,2019-2020
479,Jamie Vardy,35,23,5,2,0,323,478,84,37,13.1,0,15,4,22,740,47,23,390,487,2019-2020
480,Indiana Vassilev,4,0,0,0,0,8,12,1,0,21.9,0,0,0,0,15,1,1,12,12,2019-2020
481,Jan Vertonghen,23,1,1,2,0,958,1187,4,2,12.0,0,40,31,18,1382,8,5,856,855,2019-2020
482,Jannik Vestergaard,19,1,0,3,0,645,854,12,5,11.7,0,19,28,15,1056,5,3,484,576,2019-2020
483,Rúben Vinagre,16,0,0,1,0,255,342,5,0,13.6,0,23,15,7,463,44,20,232,257,2019-2020
484,Jake Vokins,1,0,0,0,0,57,71,1,0,31.3,0,2,1,0,80,1,0,42,59,2019-2020
485,Mario Vrančić,20,1,0,3,0,356,463,14,3,19.2,2,27,27,9,551,8,5,335,379,2019-2020
486,Matěj Vydra,19,2,1,0,0,102,140,18,10,13.1,0,4,6,7,231,18,6,126,166,2019-2020
487,Theo Walcott,25,2,3,1,0,263,407,31,10,16.1,0,13,15,13,560,32,17,342,387,2019-2020
488,Kyle Walker,29,1,4,5,0,1901,2187,14,3,25.0,1,28,29,15,2372,31,23,1577,1721,2019-2020
489,Kyle Walker-Peters,10,0,0,1,0,339,450,2,0,15.6,0,13,16,10,530,19,17,278,282,2019-2020
490,Kyle Walker-Peters,3,0,0,0,0,182,215,1,0,22.7,0,8,9,4,240,7,5,157,169,2019-2020
491,Aaron Wan-Bissaka,35,0,4,8,0,1673,2128,7,1,15.5,0,129,86,46,2571,82,54,1245,1466,2019-2020
492,Victor Wanyama,2,0,0,1,0,18,20,0,0,,0,0,0,0,20,1,1,11,11,2019-2020
493,Joel Ward,29,0,0,4,0,912,1270,5,1,15.1,0,69,56,13,1564,15,8,591,752,2019-2020
494,James Ward-Prowse,38,5,3,9,0,1444,1988,54,23,23.9,24,92,94,48,2413,21,14,896,1165,2019-2020
495,Kelland Watts,1,0,0,0,0,1,3,0,0,,0,1,1,0,4,0,0,3,2,2019-2020
496,Adam Webster,31,3,1,4,0,1587,1923,16,7,13.6,0,30,32,43,2223,18,14,1264,1444,2019-2020
497,Danny Welbeck,18,2,0,0,0,125,168,22,9,11.0,0,14,11,12,269,20,9,168,190,2019-2020
498,Ashley Westwood,35,2,6,9,0,1413,1902,13,3,20.2,2,54,48,23,2140,20,8,996,1278,2019-2020
499,Connor Wickham,6,1,1,0,0,28,47,3,2,11.2,0,1,0,1,65,4,2,26,47,2019-2020
500,Georginio Wijnaldum,37,4,0,0,0,1492,1646,36,15,16.2,0,38,40,18,1947,74,41,1410,1439,2019-2020
501,Jetro Willems,19,2,2,0,0,405,585,14,6,19.6,0,37,39,20,764,32,21,359,347,2019-2020
502,Brandon Williams,17,1,0,6,0,530,638,6,2,13.1,0,21,29,9,767,22,16,416,499,2019-2020
503,Neco Williams,6,0,0,1,0,170,213,7,1,21.8,0,5,5,3,255,11,6,154,149,2019-2020
504,Willian,36,9,7,4,0,1247,1622,67,25,20.0,9,45,43,15,1925,92,65,1271,1431,2019-2020
505,Joe Willock,29,1,1,2,0,287,359,15,4,16.7,0,25,21,16,498,32,21,317,331,2019-2020
506,Jack Wilshere,8,0,0,0,0,62,75,0,0,,0,1,4,3,105,4,1,74,77,2019-2020
507,Callum Wilson,35,8,1,10,0,334,542,55,21,12.4,0,12,17,16,855,45,24,565,634,2019-2020
508,Harry Wilson,31,7,0,2,0,452,624,56,20,20.8,12,23,34,26,840,33,17,539,536,2019-2020
509,Harry Winks,31,0,0,9,0,1542,1731,14,2,25.4,0,40,54,27,1926,21,15,1349,1437,2019-2020
510,Chris Wood,32,14,1,1,0,290,474,64,28,10.7,0,7,15,15,726,14,6,387,593,2019-2020
511,Granit Xhaka,31,1,2,10,0,1695,1944,11,3,23.0,0,45,55,32,2193,32,25,1285,1591,2019-2020
512,Andriy Yarmolenko,23,5,1,2,0,331,425,26,13,17.8,2,13,20,3,523,16,10,362,412,2019-2020
513,DeAndre Yedlin,16,1,0,3,0,222,315,1,1,3.4,0,18,16,13,408,6,1,206,221,2019-2020
514,Maya Yoshida,8,0,0,1,0,213,271,5,3,11.6,0,8,7,6,338,1,1,158,198,2019-2020
515,Ashley Young,12,0,0,5,0,573,752,3,0,21.3,0,14,17,8,851,14,7,380,488,2019-2020
516,Pablo Zabaleta,10,0,0,2,0,242,330,0,0,,0,18,13,5,410,3,2,184,200,2019-2020
517,Wilfried Zaha,38,4,3,5,0,928,1188,61,17,16.2,0,43,49,22,1749,267,163,1346,1406,2019-2020
518,Christoph Zimmermann,17,0,1,3,0,525,664,6,1,16.8,0,32,30,22,850,7,5,462,479,2019-2020
519,Oleksandr Zinchenko,19,0,0,2,1,1214,1371,16,3,26.0,0,31,32,9,1497,9,3,1055,1115,2019-2020
520,Richairo Živković,5,0,0,0,0,17,19,1,0,11.6,0,2,2,1,28,3,0,18,20,2019-2020
521,Kurt Zouma,28,0,0,6,0,1844,2087,15,5,11.4,0,23,16,22,2361,12,8,1564,1712,2019-2020
