,Player Name,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SoT,distance,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
230,Moise Kean,29,2,2,1,0,99,138,30,13,16.1,0,6,0,4,270,48,25,203,197,2019-2020
231,Michael Keane,31,2,0,3,0,1203,1458,14,4,7.8,0,31,24,35,1778,1,1,992,1078,2019-2020
232,Naby Keïta,18,2,3,1,0,605,690,12,7,19.3,0,30,26,18,796,26,23,537,603,2019-2020
233,Lloyd Kelly,8,0,0,2,0,178,241,1,0,21.6,0,7,7,9,294,2,2,139,133,2019-2020
234,Martin Kelly,19,0,1,0,0,500,710,2,0,20.4,0,23,31,18,885,10,5,332,442,2019-2020
235,Max Kilman,3,0,0,0,0,78,102,0,0,,0,4,2,1,120,1,1,61,74,2019-2020
236,Joshua King,26,6,4,0,0,369,524,23,10,14.4,0,16,16,20,817,107,52,555,585,2019-2020
237,Timm Klose,7,0,0,0,0,336,399,3,0,12.2,0,8,11,6,465,3,2,279,315,2019-2020
238,Jonathan Kodjia,6,0,0,1,0,15,27,2,0,19.5,0,0,1,0,43,3,1,18,29,2019-2020
239,Sead Kolašinac,26,0,2,4,0,877,1041,4,0,12.2,0,29,23,14,1202,21,16,631,755,2019-2020
240,Ezri Konsa,25,1,2,3,0,677,877,11,4,13.0,0,18,16,34,1094,10,7,523,585,2019-2020
241,Cheikhou Kouyaté,35,1,1,4,0,636,876,24,4,12.0,0,67,48,35,1229,31,17,533,677,2019-2020
242,Mateo Kovačić,31,1,3,8,0,1685,1889,21,5,20.3,0,63,65,15,2107,90,77,1518,1671,2019-2020
243,Emil Krafth,17,0,1,0,0,305,418,4,0,13.5,0,18,20,11,531,6,4,219,278,2019-2020
244,Tim Krul,36,0,0,4,0,1084,1583,0,0,,0,0,1,2,1677,1,0,942,840,2019-2020
245,Alexandre Lacazette,30,10,4,8,0,391,521,52,26,12.6,3,31,24,14,761,47,24,433,545,2019-2020
246,Adam Lallana,15,1,1,1,0,229,272,5,1,16.3,0,19,21,7,340,5,2,219,234,2019-2020
247,Érik Lamela,25,2,1,3,0,461,593,29,8,19.5,4,24,21,12,750,44,30,538,537,2019-2020
248,Tariq Lamptey,1,0,0,0,0,11,14,0,0,,0,2,2,0,18,1,0,7,5,2019-2020
249,Tariq Lamptey,8,0,1,2,0,177,235,2,0,25.3,0,7,9,6,322,22,15,171,173,2019-2020
250,Henri Lansbury,10,0,0,0,0,64,83,2,0,21.0,0,6,8,4,109,0,0,45,60,2019-2020
251,Manuel Lanzini,24,0,2,1,0,674,806,23,7,19.0,3,14,39,9,933,48,33,599,699,2019-2020
252,Aymeric Laporte,15,1,0,1,0,1067,1153,4,2,16.3,0,13,9,6,1228,3,2,946,978,2019-2020
253,Jamaal Lascelles,24,1,0,5,0,676,851,9,2,12.9,0,14,9,23,1076,6,4,530,553,2019-2020
254,Valentino Lazaro,13,1,0,0,1,157,197,4,1,21.9,0,13,18,2,242,13,8,142,141,2019-2020
255,Moritz Leitner,9,0,0,1,0,498,579,8,0,23.1,0,16,25,14,674,9,7,472,508,2019-2020
256,Florian Lejeune,6,2,0,0,0,148,216,4,3,14.4,0,8,7,6,267,5,4,127,121,2019-2020
257,Aaron Lennon,16,0,0,4,0,84,127,1,0,14.7,0,14,10,6,182,8,3,97,102,2019-2020
258,Bernd Leno,30,0,0,2,0,762,990,0,0,,0,0,2,0,1061,1,1,543,437,2019-2020
259,Jefferson Lerma,33,1,2,13,1,1104,1415,30,2,24.3,0,54,48,28,1732,37,26,1007,955,2019-2020
