,Player Name_x,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Shot,SOT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
422,Antonio Rüdiger,34,3,0,9,0,2217,2534,48,13,19.9,0,48,48,20,2820,12,6,1782,2185,2021-2022
423,Lukas Rupp,19,0,0,0,0,322,391,12,2,21.2,0,9,15,11,488,27,18,309,349,2021-2022
424,José Sá,37,0,1,3,0,770,1109,0,0,,0,2,4,0,1206,4,4,642,400,2021-2022
425,Allan Saint-Maximin,35,5,5,6,0,529,747,64,26,19.7,0,13,17,13,1162,241,150,859,913,2021-2022
426,Romain Saïss,31,2,0,6,0,1437,1808,18,6,12.3,1,40,33,41,2163,10,7,1168,1412,2021-2022
427,Bukayo Saka,38,11,7,6,0,893,1196,95,29,17.1,0,40,39,28,1631,102,43,1033,1182,2021-2022
428,Mohamed Salah,35,23,13,1,0,875,1136,133,49,15.8,1,17,19,7,1552,124,53,1030,1300,2021-2022
429,Mohammed Salisu,34,0,0,10,1,1388,1851,24,9,12.2,0,80,65,49,2285,16,13,1135,1216,2021-2022
430,Albert Sambi Lokonga,19,0,0,5,0,727,824,20,8,26.8,0,22,14,12,929,4,3,606,696,2021-2022
431,Davinson Sánchez,23,2,0,4,0,994,1133,13,3,9.6,0,41,28,24,1317,6,4,853,914,2021-2022
432,Robert Sánchez,37,0,0,3,1,1082,1525,0,0,,0,2,1,1,1612,0,0,988,931,2021-2022
433,Jadon Sancho,29,3,3,0,0,805,984,26,9,14.1,0,14,22,19,1188,85,47,770,928,2021-2022
434,Morgan Sanson,10,0,0,0,0,123,162,1,0,33.2,0,12,7,13,223,16,13,146,141,2021-2022
435,Samir Santos,19,0,0,4,0,538,669,8,2,13.0,0,24,19,21,872,3,2,405,452,2021-2022
436,Josh Sargent,26,2,1,1,0,292,410,24,2,17.1,0,26,39,29,634,32,16,312,388,2021-2022
437,Jeremy Sarmiento,5,0,0,0,0,14,20,0,0,,0,1,2,2,31,4,1,18,19,2021-2022
438,Ismaila Sarr,22,5,2,2,0,332,478,39,15,18.3,0,12,19,10,720,71,34,493,529,2021-2022
439,Malang Sarr,8,0,0,2,0,432,493,1,0,21.6,0,14,12,6,555,0,0,350,391,2021-2022
440,Dane Scarlett,1,0,0,0,0,1,1,0,0,,0,0,0,0,1,1,1,1,1,2021-2022
441,Fabian Schär,25,2,2,4,0,698,1012,21,8,19.5,4,16,16,27,1234,10,6,645,669,2021-2022
442,Jeffrey Schlupp,32,4,1,1,0,493,668,33,9,14.3,0,46,50,39,971,58,35,520,565,2021-2022
443,Kasper Schmeichel,37,0,0,2,0,945,1294,0,0,,0,0,2,0,1386,1,1,718,600,2021-2022
444,Ken Sema,18,0,0,1,0,140,224,3,1,20.5,1,16,20,10,325,27,12,182,187,2021-2022
445,Nélson Semedo,25,0,1,1,0,916,1169,19,4,20.2,0,58,49,23,1487,64,39,762,846,2021-2022
446,Ryan Sessegnon,15,0,2,2,0,315,428,6,1,13.5,0,25,22,18,574,19,6,302,325,2021-2022
447,Jamie Shackleton,14,0,0,4,0,353,409,4,1,18.3,0,27,25,11,499,17,11,246,276,2021-2022
448,Luke Shaw,20,0,3,8,0,944,1193,6,1,24.7,0,21,21,22,1316,14,7,682,836,2021-2022
449,Jonjo Shelvey,24,2,1,7,1,743,948,30,14,27.8,6,30,34,22,1113,12,9,559,640,2021-2022
450,Shola Shoretire,1,0,0,0,0,5,5,0,0,,0,0,0,0,6,0,0,3,3,2021-2022
451,Francisco Sierralta,5,0,0,0,0,142,183,1,1,10.0,0,7,8,7,248,2,2,118,137,2021-2022
452,Bernardo Silva,35,8,4,6,0,1728,1977,47,19,12.6,0,57,67,24,2283,92,53,1552,1766,2021-2022
453,Fábio Silva,22,0,0,0,0,93,138,19,5,13.7,0,3,8,2,201,19,7,97,143,2021-2022
454,Thiago Silva,32,3,0,2,0,2436,2634,18,5,12.2,0,32,22,54,2902,7,6,1846,2168,2021-2022
455,Ellis Simms,1,0,0,0,0,7,12,0,0,,0,0,0,1,18,0,0,3,13,2021-2022
456,Moussa Sissoko,36,2,1,5,0,922,1188,25,8,16.8,0,53,42,42,1554,76,52,746,822,2021-2022
457,Oliver Skipp,18,0,0,6,0,763,851,4,1,24.8,0,33,31,19,973,6,4,581,711,2021-2022
458,William Smallbone,4,0,0,0,0,20,39,1,0,17.6,0,4,3,4,54,0,0,23,27,2021-2022
459,Emile Smith Rowe,33,10,2,1,0,682,823,40,23,15.8,0,14,20,18,1025,53,32,636,749,2021-2022
460,Cédric Soares,21,1,1,3,0,873,1112,12,1,22.1,2,38,25,18,1252,12,8,677,769,2021-2022
461,Tomáš Souček,35,5,1,3,0,1036,1361,45,11,12.8,0,66,65,34,1759,16,10,802,1026,2021-2022
462,Boubakary Soumaré,19,0,1,0,0,444,542,6,2,18.6,0,19,17,13,664,24,14,359,475,2021-2022
463,Çağlar Söyüncü,28,1,0,5,0,1630,1935,8,1,12.0,0,47,42,44,2216,8,4,1393,1509,2021-2022
464,Tony Springett,3,0,0,1,0,25,38,1,1,12.9,0,2,4,0,52,2,1,39,39,2021-2022
465,Jason Steele,1,0,0,0,0,34,38,0,0,,0,0,0,0,41,0,0,19,28,2021-2022
466,Jed Steer,1,0,0,0,0,30,38,0,0,,0,0,0,0,38,0,0,19,18,2021-2022
467,Zack Steffen,1,0,0,0,0,34,39,0,0,,0,0,0,0,42,0,0,19,20,2021-2022
468,Dale Stephens,3,0,0,1,0,46,57,1,0,22.8,0,4,8,4,71,0,0,25,35,2021-2022
469,Jack Stephens,11,0,0,3,0,361,474,0,0,,0,19,16,12,566,2,2,307,318,2021-2022
470,Raheem Sterling,30,13,5,1,0,714,880,54,25,14.0,0,23,23,12,1173,112,53,886,991,2021-2022
471,Finley Stevens,1,0,0,0,0,5,7,0,0,,0,3,1,0,9,0,0,5,5,2021-2022
472,John Stones,14,1,0,0,0,911,1001,9,5,13.2,0,5,3,3,1072,9,8,768,846,2021-2022
473,Pascal Struijk,29,1,0,6,1,1089,1278,11,3,9.1,0,61,50,35,1533,3,2,803,932,2021-2022
474,Crysencio Summerville,6,0,0,0,0,51,70,2,0,12.7,0,5,3,2,93,7,4,56,62,2021-2022
475,Jakob Sørensen,10,0,0,0,0,251,309,5,1,16.5,0,22,20,7,381,4,3,219,233,2021-2022
476,Japhet Tanganga,11,0,0,4,1,333,407,7,2,13.3,0,14,19,13,493,7,5,275,315,2021-2022
477,Matt Targett,17,1,1,2,0,592,823,7,2,13.5,0,34,45,16,984,6,1,466,543,2021-2022
478,Matt Targett,16,0,0,1,0,566,789,6,3,16.3,0,41,37,15,940,17,10,358,420,2021-2022
479,James Tarkowski,35,1,2,11,0,816,1190,22,6,11.3,0,65,47,75,1623,7,5,596,702,2021-2022
480,Nuno Tavares,22,1,1,2,0,581,727,23,2,19.8,0,21,18,15,902,36,18,510,560,2021-2022
481,Charlie Taylor,31,0,3,3,0,968,1375,7,0,22.4,0,45,44,42,1744,53,27,759,816,2021-2022
482,Nathan Tella,14,0,1,2,0,103,177,12,5,21.8,0,13,17,13,324,26,10,194,183,2021-2022
483,Alex Telles,21,0,4,1,0,898,1205,10,3,23.1,4,48,43,17,1396,22,12,745,850,2021-2022
484,Luke Thomas,22,0,1,2,0,1007,1272,4,0,19.0,0,50,65,35,1533,23,15,744,882,2021-2022
485,Dominic Thompson,2,0,0,0,0,21,41,1,0,14.7,0,1,1,2,57,2,0,25,29,2021-2022
486,Youri Tielemans,32,6,4,3,0,1451,1785,57,15,25.0,0,74,100,47,2111,39,25,1127,1514,2021-2022
487,Kieran Tierney,22,1,3,0,0,900,1165,15,5,20.8,0,18,11,23,1347,23,9,730,832,2021-2022
488,Takehiro Tomiyasu,21,0,1,2,0,888,1098,11,2,17.1,0,35,32,22,1310,15,9,633,743,2021-2022
489,James Tomkins,8,1,0,2,0,277,320,4,2,13.7,0,8,8,8,373,1,1,211,249,2021-2022
490,Ivan Toney,33,12,5,8,0,440,779,83,24,15.8,0,33,38,16,1198,50,24,640,910,2021-2022
491,Ferrán Torres,4,2,1,0,0,54,74,13,4,14.2,0,2,3,2,100,6,4,57,77,2021-2022
492,Cenk Tosun,1,0,0,0,0,1,1,0,0,,0,0,0,0,3,0,0,3,2,2021-2022
493,Andros Townsend,21,3,2,3,0,342,497,20,9,22.1,4,31,40,28,708,48,26,400,430,2021-2022
494,Adama Traoré,20,1,0,0,0,242,339,23,5,19.7,0,8,7,4,474,102,83,341,397,2021-2022
495,Bertrand Traoré,9,0,0,0,0,61,84,8,1,18.5,0,3,2,0,125,19,10,92,94,2021-2022
496,Trézéguet,1,0,0,0,0,6,6,1,0,22.0,0,0,0,0,10,1,1,9,9,2021-2022
497,Francisco Trincão,28,2,1,0,0,356,463,32,13,18.6,1,28,19,17,676,86,44,396,470,2021-2022
498,Kieran Trippier,6,2,0,0,0,189,284,2,2,24.5,2,17,16,10,339,3,1,106,129,2021-2022
499,William Troost-Ekong,17,0,0,3,0,466,604,2,0,21.2,0,18,15,24,749,2,1,414,433,2021-2022
500,Leandro Trossard,34,8,3,2,0,898,1188,73,26,18.7,5,34,31,33,1535,80,56,987,1163,2021-2022
501,Kostas Tsimikas,13,0,2,3,0,508,705,8,2,16.9,0,27,16,6,809,20,8,430,485,2021-2022
502,Axel Tuanzebe,9,0,0,1,0,207,241,2,1,10.1,0,5,5,5,280,0,0,177,181,2021-2022
503,Ozan Tufan,7,0,0,0,0,85,122,3,0,18.1,0,3,5,2,155,6,3,70,90,2021-2022
504,Christos Tzolis,14,0,0,0,0,75,104,6,2,18.5,0,5,9,3,140,2,0,90,100,2021-2022
505,Yan Valery,5,0,0,0,0,108,155,2,0,28.2,0,8,9,6,213,5,1,106,95,2021-2022
506,Virgil van Dijk,34,3,1,3,0,2376,2655,35,14,13.3,1,16,16,21,2894,8,6,1717,2096,2021-2022
507,Raphaël Varane,22,1,1,0,0,1014,1156,9,1,9.6,0,28,22,18,1336,3,2,818,897,2021-2022
508,Jamie Vardy,25,15,2,2,0,184,265,54,25,12.4,0,6,7,9,409,22,9,200,273,2021-2022
509,Joël Veltman,34,1,1,6,0,1439,1869,12,2,18.1,0,74,53,46,2235,32,16,1139,1249,2021-2022
510,Jannik Vestergaard,10,0,0,2,0,335,377,1,0,4.0,0,15,15,10,457,4,4,273,308,2021-2022
511,Nikola Vlašić,19,1,0,0,0,165,218,7,3,18.5,0,11,20,4,277,18,9,179,209,2021-2022
512,Matěj Vydra,22,2,3,1,0,75,107,19,7,15.1,0,12,7,5,208,13,6,119,140,2021-2022
513,Theo Walcott,9,0,0,0,0,59,87,6,0,16.4,0,4,5,3,125,3,1,71,86,2021-2022
514,Kyle Walker,20,0,2,1,0,1478,1668,8,2,23.7,1,15,17,14,1770,14,7,1128,1356,2021-2022
515,Kyle Walker-Peters,32,1,2,5,0,1071,1368,26,7,18.6,0,57,38,29,1715,95,64,941,981,2021-2022
516,Aaron Wan-Bissaka,20,0,0,2,0,925,1141,5,1,14.1,0,49,20,24,1365,61,36,716,815,2021-2022
517,Danny Ward,1,0,0,0,0,30,33,0,0,,0,0,0,0,37,0,0,24,17,2021-2022
518,Joel Ward,28,0,0,8,0,1372,1741,10,1,20.4,0,44,57,24,2038,26,20,1028,1212,2021-2022
519,James Ward-Prowse,36,10,5,3,1,1657,2137,51,20,27.9,23,41,70,43,2438,20,12,1070,1362,2021-2022
520,Ollie Watkins,35,11,2,7,0,484,699,76,31,13.6,0,17,15,25,1046,68,37,630,820,2021-2022
521,Adam Webster,22,2,0,5,0,950,1176,8,2,11.2,0,26,20,25,1323,12,10,763,907,2021-2022
522,Wout Weghorst,20,2,3,3,0,276,434,30,7,14.0,0,17,19,16,626,23,13,291,414,2021-2022
523,Danny Welbeck,25,6,2,0,0,213,277,43,21,12.8,0,14,10,18,471,21,10,277,358,2021-2022
524,Timo Werner,21,4,1,1,0,297,402,45,16,13.3,0,8,20,9,550,33,10,323,442,2021-2022
525,Ashley Westwood,27,0,3,7,0,871,1254,14,1,21.0,0,21,31,21,1415,18,10,628,804,2021-2022
526,Ben White,32,0,0,3,0,1554,1839,12,3,15.2,0,44,45,42,2145,20,10,1295,1442,2021-2022
527,Brandon Williams,26,0,1,8,0,899,1130,4,1,21.2,0,55,64,26,1415,39,20,784,781,2021-2022
528,Neco Williams,1,0,1,0,0,9,9,0,0,,0,0,0,0,10,1,1,7,9,2021-2022
529,Joe Willock,29,2,0,0,0,450,565,35,11,17.2,0,64,68,37,864,71,36,494,496,2021-2022
530,Callum Wilson,18,8,0,4,0,107,159,33,12,14.2,0,9,4,7,320,21,10,192,243,2021-2022
531,Harry Winks,19,0,1,2,0,585,683,3,1,26.6,0,15,21,14,768,15,8,538,592,2021-2022
532,Yoane Wissa,30,7,1,0,0,188,286,32,13,16.4,0,12,16,12,419,30,19,241,284,2021-2022
533,Chris Wood,17,3,0,1,0,178,310,30,11,12.7,0,7,10,13,431,8,4,172,342,2021-2022
534,Chris Wood,17,2,0,0,0,169,327,20,6,12.0,0,2,2,5,461,10,2,193,356,2021-2022
535,Freddie Woodman,4,0,0,0,0,74,120,0,0,,0,0,0,0,128,0,0,65,48,2021-2022
536,Granit Xhaka,27,1,2,10,1,1367,1589,27,5,23.4,1,32,41,21,1786,26,19,1030,1297,2021-2022
537,Andriy Yarmolenko,19,1,0,1,0,80,109,11,5,15.2,0,4,8,4,147,8,3,92,117,2021-2022
538,Ashley Young,24,0,2,2,0,492,645,10,3,21.2,1,18,16,10,756,16,9,428,471,2021-2022
539,Nathan Young-Coombes,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,1,1,2021-2022
540,Wilfried Zaha,33,14,1,6,1,753,974,62,26,18.8,0,40,31,28,1443,152,75,1058,1128,2021-2022
541,Christoph Zimmermann,3,0,0,0,0,46,63,2,1,21.6,0,6,4,0,77,1,1,47,46,2021-2022
542,Oleksandr Zinchenko,15,0,4,0,0,953,1073,12,4,22.4,0,20,20,11,1169,12,7,720,879,2021-2022
543,Hakim Ziyech,23,4,3,3,0,544,755,52,19,21.2,3,19,36,11,968,65,28,646,707,2021-2022
544,Kurt Zouma,24,1,0,1,0,875,999,6,2,6.1,0,11,7,31,1247,3,1,712,774,2021-2022
545,Martin Ødegaard,36,7,4,4,0,1368,1633,53,21,21.0,12,49,61,18,1867,46,25,1133,1375,2021-2022
