,Player Name_x,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Shot,SOT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
242,Mathias Jørgensen,8,1,0,2,0,258,337,2,1,7.8,0,10,10,6,388,1,0,166,200,2021-2022
243,Ozan Kabak,11,0,0,2,0,350,431,4,2,14.7,0,10,9,19,532,20,16,281,336,2021-2022
244,Christian Kabasele,16,0,0,0,0,373,474,7,0,10.3,0,11,10,20,615,3,1,300,336,2021-2022
245,Samuel Kalu,4,0,0,0,0,56,69,4,1,22.3,1,2,1,2,98,10,4,57,70,2021-2022
246,Hassane Kamara,19,1,0,5,1,637,917,5,1,25.7,0,53,43,20,1182,30,15,529,505,2021-2022
247,Harry Kane,37,17,9,5,0,637,945,129,49,17.3,8,15,18,26,1387,100,54,891,1095,2021-2022
248,N'Golo Kanté,26,2,4,2,0,1121,1308,17,9,19.6,0,59,40,37,1545,48,35,916,1156,2021-2022
249,Edo Kayembe,13,0,0,0,0,374,442,6,0,29.8,0,21,16,6,531,17,12,303,326,2021-2022
250,Moise Kean,1,0,0,0,0,1,1,0,0,,0,0,0,0,1,0,0,1,2,2021-2022
251,Michael Keane,32,3,2,4,1,927,1214,20,6,12.7,0,46,45,33,1541,8,7,726,822,2021-2022
252,Naby Keïta,23,3,1,3,0,643,757,26,7,22.6,0,46,42,33,933,24,15,514,658,2021-2022
253,Caoimhín Kelleher,2,0,0,0,0,83,91,0,0,,0,1,1,0,95,0,0,64,58,2021-2022
254,Kenedy,1,0,1,0,0,36,50,1,0,16.3,0,5,3,0,62,1,1,49,46,2021-2022
255,Jonjoe Kenny,15,0,1,3,1,351,478,5,0,23.7,0,17,21,8,583,9,4,278,287,2021-2022
256,Max Kilman,30,1,0,3,0,1313,1535,13,4,9.4,0,50,37,36,1846,20,17,1039,1221,2021-2022
257,Joshua King,32,5,3,5,0,369,519,49,16,15.2,0,19,17,15,837,67,30,430,569,2021-2022
258,Kristoffer Klaesson,1,0,0,0,0,9,11,0,0,,0,0,0,0,13,0,0,7,4,2021-2022
259,Mateusz Klich,33,1,2,5,0,800,1026,42,18,21.4,0,47,66,22,1253,35,20,717,834,2021-2022
260,Robin Koch,20,0,0,3,0,555,718,13,1,16.1,0,21,34,26,889,8,5,376,518,2021-2022
261,Sead Kolašinac,2,0,0,1,0,13,16,0,0,,0,0,0,0,23,0,0,12,10,2021-2022
262,Ibrahima Konaté,11,0,0,2,0,663,754,4,0,11.5,0,16,10,13,855,3,2,497,581,2021-2022
263,Ezri Konsa,29,2,0,6,2,875,1013,15,6,8.1,0,25,13,31,1237,9,6,714,789,2021-2022
264,Cheikhou Kouyaté,27,0,1,3,0,656,804,7,0,21.6,0,52,39,40,1058,17,13,477,529,2021-2022
265,Mateo Kovačić,25,2,5,4,0,1061,1203,22,6,20.3,1,51,35,19,1368,51,38,875,1076,2021-2022
266,Emil Krafth,20,0,1,5,0,551,780,6,1,20.4,0,37,36,16,961,4,2,370,425,2021-2022
267,Alex Král,1,0,0,0,0,0,2,0,0,,0,0,0,0,2,0,0,1,1,2021-2022
268,Tim Krul,29,0,0,1,0,759,1073,0,0,,0,1,4,0,1149,0,0,621,506,2021-2022
269,Juraj Kucka,26,1,1,5,1,485,713,46,11,20.8,3,59,73,30,1030,33,17,458,514,2021-2022
270,Dejan Kulusevski,18,5,8,3,0,404,486,26,9,16.9,0,19,23,14,643,44,25,399,449,2021-2022
271,Alexandre Lacazette,30,4,7,0,0,343,455,43,12,15.4,1,27,21,12,638,33,19,349,489,2021-2022
272,Adam Lallana,24,0,1,4,0,836,962,19,4,19.8,0,34,41,16,1123,23,14,618,793,2021-2022
273,Tariq Lamptey,30,0,2,4,0,593,770,19,4,20.0,0,36,25,13,1008,61,29,642,695,2021-2022
274,Manuel Lanzini,30,5,3,2,0,1118,1237,13,4,23.1,1,28,35,16,1402,36,25,889,1026,2021-2022
275,Aymeric Laporte,33,4,0,5,1,2782,2940,35,7,11.6,0,33,20,15,3135,8,6,2325,2550,2021-2022
276,Jamaal Lascelles,26,1,0,5,0,516,696,17,4,10.2,0,15,12,38,949,2,1,413,483,2021-2022
277,Pierre Lees-Melou,33,1,0,5,0,807,1033,33,9,24.5,0,58,92,37,1265,30,19,742,822,2021-2022
278,Aaron Lennon,28,2,0,2,0,252,382,12,4,20.1,0,33,34,26,542,30,13,286,334,2021-2022
279,Bernd Leno,4,0,0,0,0,76,115,0,0,,0,1,1,0,125,0,0,61,49,2021-2022
280,Jamal Lewis,5,0,0,1,0,79,104,0,0,,0,8,4,3,131,3,0,59,66,2021-2022
281,Victor Lindelöf,28,0,2,4,0,1215,1385,3,2,8.6,0,16,14,26,1595,3,3,919,1025,2021-2022
282,Jesse Lingard,16,2,0,1,0,128,153,8,6,18.6,0,9,6,4,200,6,2,127,152,2021-2022
283,Valentino Livramento,28,1,1,2,0,864,1166,12,3,15.9,0,54,45,23,1486,55,30,742,763,2021-2022
284,Diego Llorente,28,3,0,7,0,1115,1373,10,3,10.6,0,53,47,35,1654,13,8,980,1015,2021-2022
285,Hugo Lloris,38,0,0,2,0,767,957,0,0,,0,1,2,0,1046,0,0,544,377,2021-2022
286,Giovani Lo Celso,9,0,0,0,0,128,161,9,0,19.4,1,8,10,6,210,15,9,121,155,2021-2022
287,Jürgen Locadia,1,0,0,0,0,1,1,1,0,20.2,0,0,0,0,3,0,0,3,3,2021-2022
288,Ruben Loftus-Cheek,24,0,2,1,0,876,981,19,6,18.6,0,29,19,15,1172,60,42,724,887,2021-2022
289,Kevin Long,6,0,0,1,0,79,102,4,0,13.3,0,3,2,4,141,0,0,52,69,2021-2022
290,Shane Long,13,1,0,1,0,43,72,9,5,11.3,0,9,1,4,129,4,1,61,104,2021-2022
291,Sean Longstaff,24,1,1,1,0,481,604,15,2,26.0,1,54,65,18,775,11,6,372,430,2021-2022
292,Ademola Lookman,26,6,0,2,0,405,536,26,12,15.0,0,32,28,19,755,58,38,501,558,2021-2022
293,Jonas Lössl,2,0,0,0,0,42,61,0,0,,0,0,0,0,64,0,0,37,34,2021-2022
294,Imran Louza,20,0,0,6,0,521,711,17,4,27.5,6,41,38,28,911,24,14,385,446,2021-2022
295,Matthew Lowton,25,1,2,3,1,599,887,10,2,21.6,0,38,37,25,1090,21,10,419,481,2021-2022
296,Douglas Luiz,34,2,3,7,0,1290,1550,23,8,25.3,8,59,72,30,1823,43,24,1006,1116,2021-2022
297,Romelu Lukaku,26,8,0,1,0,231,327,42,14,13.8,1,2,5,11,483,25,13,237,360,2021-2022
298,Lyanco,15,0,0,2,0,282,397,6,1,16.9,0,18,18,18,530,4,4,280,265,2021-2022
299,Alexis Mac Allister,33,5,2,4,0,858,1066,57,9,22.0,4,65,68,37,1368,42,21,719,854,2021-2022
300,James Maddison,35,12,8,3,0,796,1089,72,33,20.7,13,40,46,18,1343,48,31,851,973,2021-2022
301,Harry Maguire,30,1,0,9,1,1353,1578,23,10,12.8,0,34,31,36,1843,5,4,1068,1212,2021-2022
302,Riyad Mahrez,28,11,5,0,0,777,947,56,18,17.9,6,11,19,15,1135,50,26,775,847,2021-2022
303,Ainsley Maitland-Niles,8,0,0,0,0,106,138,2,0,30.3,0,8,4,2,171,8,4,87,110,2021-2022
304,Sadio Mané,34,16,2,5,0,818,1100,98,37,14.2,0,33,26,30,1492,77,47,1027,1218,2021-2022
305,Javier Manquillo,19,1,2,5,0,308,424,4,2,15.2,0,39,36,15,573,18,10,214,230,2021-2022
306,Fernando Marçal,18,0,0,3,0,669,887,11,1,23.3,0,42,37,25,1093,14,7,526,624,2021-2022
307,Solly March,31,0,2,1,0,556,771,20,10,18.3,2,30,22,22,961,38,23,545,608,2021-2022
308,Pablo Marí,2,0,0,1,0,79,92,1,0,5.8,0,5,6,5,120,0,0,68,67,2021-2022
309,Anthony Martial,8,1,0,0,0,67,86,5,2,13.0,0,0,1,1,109,7,4,74,97,2021-2022
310,Gabriel Martinelli,29,6,6,3,1,439,611,51,15,14.7,0,27,29,26,898,79,45,554,593,2021-2022
311,Emiliano Martínez,36,0,0,4,0,816,1103,0,0,,0,1,3,0,1158,0,0,642,454,2021-2022
312,Adam Masina,15,0,1,0,0,375,549,5,0,13.5,0,24,29,18,680,11,9,271,316,2021-2022
313,Arthur Masuaku,13,1,1,1,0,289,382,4,1,26.5,0,31,23,9,479,17,10,223,272,2021-2022
314,Juan Mata,7,0,0,0,0,187,217,5,1,16.2,0,6,5,1,245,6,3,157,194,2021-2022
315,Jean-Philippe Mateta,22,5,1,2,0,158,238,37,18,11.2,0,8,18,11,387,17,10,199,273,2021-2022
316,Nemanja Matić,23,0,4,3,0,911,1053,6,1,23.5,0,31,31,21,1215,22,17,715,851,2021-2022
317,Joël Matip,31,3,3,2,0,2074,2344,35,7,9.9,0,47,31,26,2651,10,9,1612,1837,2021-2022
318,Neal Maupay,32,8,2,7,0,479,622,59,14,16.8,0,17,18,21,843,41,21,499,615,2021-2022
319,Bryan Mbeumo,35,4,7,4,0,527,817,76,19,16.3,4,28,20,21,1188,80,39,713,828,2021-2022
320,James McArthur,21,0,3,4,0,773,940,9,3,20.9,0,33,44,23,1127,30,21,629,699,2021-2022
321,James Mcatee,2,0,0,0,0,9,13,1,0,10.7,0,0,2,0,16,1,1,7,12,2021-2022
322,Kasey McAteer,1,0,0,0,0,1,1,0,0,,0,0,0,0,2,0,0,2,2,2021-2022
323,Liam McCarron,1,0,0,0,0,2,2,0,0,,0,0,0,1,3,0,0,2,1,2021-2022
324,Alex McCarthy,17,0,0,1,0,318,508,0,0,,0,0,0,0,536,0,0,278,231,2021-2022
325,John McGinn,35,3,4,8,0,1023,1365,43,16,25.1,0,106,104,53,1754,68,44,991,1075,2021-2022
326,Stuart McKinstry,1,0,0,0,0,2,3,0,0,,0,0,0,0,5,0,0,3,3,2021-2022
327,Kenny McLean,31,1,0,3,0,786,1090,33,6,20.4,0,42,59,29,1387,30,19,776,903,2021-2022
328,Dwight McNeil,38,0,1,1,0,782,1154,52,15,22.8,4,78,73,64,1620,150,90,933,942,2021-2022
329,Scott McTominay,30,1,1,9,0,1060,1254,27,7,20.9,0,65,61,45,1585,47,36,902,997,2021-2022
330,Ben Mee,21,3,0,3,0,535,763,19,4,8.7,0,26,19,28,980,5,4,437,446,2021-2022
331,Hannibal Mejbri,2,0,0,2,0,17,21,1,1,22.9,0,2,1,0,32,2,1,18,23,2021-2022
332,Benjamin Mendy,1,0,0,0,0,80,94,0,0,,0,2,6,0,100,3,2,67,73,2021-2022
333,Edouard Mendy,34,0,0,3,0,811,957,0,0,,0,1,3,0,1017,0,0,580,527,2021-2022
334,Nampalys Mendy,14,0,0,3,0,593,645,1,1,25.3,0,12,17,7,725,4,4,470,542,2021-2022
335,Illan Meslier,38,0,0,2,0,1037,1392,0,0,,0,1,1,0,1489,2,2,856,721,2021-2022
336,Luka Milivojević,15,0,0,1,0,400,493,8,0,26.6,4,18,16,6,562,2,2,285,338,2021-2022
337,James Milner,24,0,1,2,0,646,777,10,2,23.8,0,28,29,19,903,6,2,492,624,2021-2022
338,Yerry Mina,13,0,0,3,0,288,362,6,2,10.8,0,12,13,13,458,0,0,218,251,2021-2022
339,Takumi Minamino,11,3,0,1,0,58,69,7,4,15.2,0,3,8,2,93,5,1,58,75,2021-2022
340,Tyrone Mings,36,1,3,11,0,1336,1684,21,5,12.3,0,23,22,47,2031,12,11,1212,1242,2021-2022
341,Tyrick Mitchell,36,0,2,1,0,1393,1930,4,0,17.3,0,104,67,47,2320,29,16,1074,1188,2021-2022
342,Jakub Moder,28,0,3,1,0,581,814,28,6,16.6,2,42,42,25,1058,29,12,567,729,2021-2022
343,Wesley Moraes,1,0,0,0,0,2,2,0,0,,0,0,0,0,3,0,0,2,3,2021-2022
344,Tyler Morton,2,0,0,1,0,30,35,0,0,,0,0,2,0,41,0,0,24,23,2021-2022
345,Mason Mount,32,11,10,4,0,998,1278,75,27,17.9,6,41,34,18,1564,42,18,920,1175,2021-2022
346,Lucas Moura,34,2,6,4,0,567,774,37,11,16.7,0,25,35,19,1021,92,56,649,772,2021-2022
347,João Moutinho,35,2,1,4,0,1700,2039,20,7,24.3,4,74,106,48,2324,21,16,1195,1486,2021-2022
348,Bali Mumba,1,0,0,0,0,7,10,0,0,,0,1,0,0,19,1,0,9,8,2021-2022
349,Jacob Murphy,33,1,2,4,0,364,581,27,5,19.3,1,49,41,20,795,29,13,405,421,2021-2022
350,Enock Mwepu,18,2,4,2,0,289,393,19,8,20.0,0,22,27,20,549,23,15,305,339,2021-2022
351,Vitaliy Mykolenko,13,1,0,0,0,319,465,8,2,19.0,0,25,21,15,603,9,3,227,241,2021-2022
352,Marvelous Nakamba,16,0,0,5,0,327,385,0,0,,0,32,34,14,494,16,14,279,261,2021-2022
353,Wilfred Ndidi,19,0,0,4,0,746,935,14,4,19.7,0,60,55,36,1196,17,11,600,659,2021-2022
354,Tanguy Ndombele,9,1,1,1,0,230,267,9,3,17.4,0,10,8,5,339,20,11,216,272,2021-2022
355,Reiss Nelson,1,0,0,0,0,8,12,1,0,18.8,0,1,1,1,16,0,0,10,11,2021-2022
356,Pedro Neto,13,1,1,3,0,181,237,17,4,19.7,1,4,9,0,308,23,12,206,237,2021-2022
357,Rúben Neves,33,4,2,9,0,1635,1992,42,16,27.4,4,68,87,39,2281,32,26,1300,1607,2021-2022
358,Jeremy Ngakia,16,0,0,0,0,322,442,5,0,27.2,0,31,26,11,567,17,9,245,259,2021-2022
359,Saúl Ñíguez,10,0,0,1,0,306,353,5,1,23.1,0,20,16,14,430,3,2,202,297,2021-2022
360,Eddie Nketiah,21,5,1,3,0,175,230,29,13,14.6,0,9,4,9,358,30,14,210,271,2021-2022
361,Nicolas Nkoulou,3,0,0,0,0,50,57,0,0,,0,1,0,2,73,1,1,35,41,2021-2022
362,Mark Noble,11,1,0,0,0,262,301,0,0,,0,8,11,4,325,4,3,217,248,2021-2022
363,Mathias Normann,23,1,2,6,0,546,795,26,5,28.2,6,34,46,17,990,30,17,522,570,2021-2022
364,Christian Nørgaard,35,3,4,8,0,1337,1685,27,8,14.1,0,109,101,48,2079,27,18,879,1104,2021-2022
365,Angelo Ogbonna,11,1,0,1,0,405,477,3,1,12.6,0,7,7,5,542,1,1,324,376,2021-2022
366,Michael Olise,26,2,5,4,0,476,662,19,10,17.0,2,22,24,17,829,62,28,500,589,2021-2022
367,Robin Olsen,1,0,0,0,0,25,47,0,0,,0,0,0,0,47,0,0,22,13,2021-2022
368,Andrew Omobamidele,5,1,0,1,0,197,235,2,1,8.3,0,8,11,8,279,0,0,162,162,2021-2022
369,Tyler Onyango,3,0,0,0,0,1,2,1,0,12.1,0,0,0,0,8,1,0,2,4,2021-2022
370,Frank Onyeka,20,0,0,4,0,259,332,16,5,18.0,0,25,27,16,470,17,11,245,270,2021-2022
371,Divock Origi,7,3,0,0,0,28,37,10,5,14.9,0,0,2,1,64,3,1,38,50,2021-2022
372,Alex Oxlade-Chamberlain,17,2,1,0,0,316,407,21,3,21.5,0,15,14,12,508,17,12,319,372,2021-2022
373,Cole Palmer,4,0,0,0,0,46,54,4,1,21.6,0,2,2,3,76,2,1,45,62,2021-2022
374,Emerson Palmieri,1,0,0,0,0,1,2,0,0,,0,0,0,0,2,0,0,2,2,2021-2022
375,Thomas Partey,24,2,1,6,0,1032,1214,44,9,22.5,2,43,44,22,1447,43,35,807,1012,2021-2022
376,Nicolas Pépé,20,1,2,0,0,283,365,23,7,15.1,3,8,9,9,508,44,19,285,343,2021-2022
377,Ricardo Pereira,14,1,3,3,0,519,655,10,2,16.6,0,37,40,13,816,19,11,372,470,2021-2022
378,Ayoze Pérez,14,2,3,0,1,123,156,11,6,15.3,0,4,13,11,233,16,10,128,156,2021-2022
379,Sonny Perkins,1,0,0,0,0,0,1,0,0,,0,0,0,0,1,0,0,0,1,2021-2022
380,Romain Perraud,20,0,1,3,0,478,749,19,3,20.7,0,34,29,24,957,18,8,476,502,2021-2022
381,Kalvin Phillips,20,0,1,4,0,786,971,15,3,24.0,1,54,57,37,1188,12,7,603,708,2021-2022
382,Jaden Philogene Bidace,1,0,0,0,0,0,2,0,0,,0,0,0,0,3,0,0,3,3,2021-2022
383,Jordan Pickford,35,0,0,2,0,608,1147,0,0,,0,1,1,1,1230,1,1,640,470,2021-2022
384,Erik Pieters,12,0,1,1,0,242,348,7,0,24.9,0,28,28,18,475,5,3,170,178,2021-2022
