,Player Name_x,MP,Gls,Ast,CRDY,CRDR,Cmp,Att,shot,SoT,Dist,FK,TKL,Dribbles,Blocks,Touches,DAttp,Succ,Carries,Receiving,season
94,Ben Chilwell,23,2,2,3,0,762,977,16,4,16.1,0,21,25,21,1133,23,8,629,722,2022-2023
95,Ryan Christie,32,1,1,2,0,521,651,33,9,14.0,0,34,49,16,940,86,37,559,592,2022-2023
96,Carney Chukwuemeka,14,0,0,0,0,179,203,5,1,17.2,0,13,5,7,262,11,6,154,184,2022-2023
97,Bobby Clark,1,0,0,0,0,1,1,0,0,,0,0,0,2,7,1,0,3,3,2022-2023
98,Nathaniel Clyne,22,0,0,3,0,654,832,0,0,,0,27,23,22,971,12,5,423,531,2022-2023
99,Conor Coady,24,1,1,2,0,1025,1209,4,2,8.5,0,14,15,21,1363,3,0,882,984,2022-2023
100,Jack Colback,11,0,0,0,0,119,143,0,0,,0,18,8,3,189,4,3,75,88,2022-2023
101,Séamus Coleman,23,1,0,1,0,597,789,7,2,21.9,0,35,29,14,990,36,16,457,481,2022-2023
102,Nathan Collins,26,0,0,2,1,1001,1138,3,0,9.0,0,27,24,35,1339,8,7,724,922,2022-2023
103,Levi Colwill,17,0,2,1,0,1027,1165,8,0,7.0,0,8,9,5,1263,1,1,845,921,2022-2023
104,Lewis Cook,28,0,2,4,0,593,751,6,0,28.7,2,37,42,29,935,19,7,426,517,2022-2023
105,Steve Cook,12,0,0,4,0,369,459,3,0,14.2,0,8,7,16,559,1,1,284,350,2022-2023
106,Liam Cooper,18,1,0,5,0,620,789,10,2,9.5,0,38,36,16,970,4,1,477,501,2022-2023
107,Maxwel Cornet,14,0,0,0,0,72,97,9,2,12.5,0,7,6,6,140,5,2,83,103,2022-2023
108,Diego Costa,23,1,0,5,1,158,221,28,14,12.0,0,3,9,6,335,10,5,180,245,2022-2023
109,Vladimír Coufal,27,0,1,5,0,730,1174,6,0,25.7,0,58,51,24,1433,17,3,578,665,2022-2023
110,Philippe Coutinho,20,1,0,3,0,288,384,21,8,21.6,2,19,15,11,500,34,14,309,369,2022-2023
111,Conor Coventry,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2022-2023
112,Matthew Craig,1,0,0,0,0,5,6,0,0,,0,4,0,0,10,0,0,5,6,2022-2023
113,Aaron Cresswell,28,0,1,3,0,1127,1448,9,1,22.5,4,21,31,21,1607,7,2,766,960,2022-2023
114,Marc Cucurella,24,0,2,4,0,1090,1293,7,0,19.7,0,66,60,28,1490,14,5,787,906,2022-2023
115,Matheus Cunha,17,2,0,1,0,171,234,26,7,19.4,0,7,10,15,372,39,26,195,224,2022-2023
116,Patson Daka,30,4,4,2,0,195,295,30,16,14.6,0,14,12,14,444,18,7,207,288,2022-2023
117,Diogo Dalot,26,1,2,6,0,1141,1441,22,7,19.9,0,54,45,25,1673,35,21,878,994,2022-2023
118,Mikkel Damsgaard,26,0,0,4,0,275,407,12,5,15.0,0,31,42,20,529,23,9,279,307,2022-2023
119,Danilo,13,3,2,1,0,148,235,15,4,20.4,0,18,25,26,383,19,14,171,171,2022-2023
120,Arnaut Danjuma,9,1,0,0,0,39,56,6,3,14.2,0,2,0,1,72,6,3,44,58,2022-2023
121,Josh Dasilva,36,4,2,1,0,491,617,18,6,19.8,0,18,16,22,770,56,32,536,562,2022-2023
122,David Datro Fofana,3,0,0,0,0,7,9,3,1,19.1,0,3,1,1,33,8,5,24,23,2022-2023
123,Ben Davies,31,2,2,4,0,1040,1281,14,5,16.7,0,28,26,17,1482,15,5,835,1012,2022-2023
124,Tom Davies,19,0,0,3,0,173,234,9,2,15.7,0,15,14,10,309,6,3,150,201,2022-2023
125,Craig Dawson,8,0,0,2,0,245,310,6,1,15.1,0,10,6,9,380,1,0,193,216,2022-2023
126,Craig Dawson,17,1,0,4,0,780,926,11,2,11.5,0,9,7,31,1084,4,3,628,748,2022-2023
127,Kevin De Bruyne,32,7,16,1,0,1192,1626,65,21,23.0,7,28,39,27,1860,61,32,1129,1445,2022-2023
128,Siriki Dembélé,6,0,0,0,0,37,47,2,2,16.6,0,3,1,1,71,10,6,47,50,2022-2023
129,Leander Dendoncker,20,0,0,0,0,248,284,2,0,26.9,0,19,21,19,365,5,3,171,207,2022-2023
130,Leander Dendoncker,4,0,0,0,0,86,99,3,2,16.7,0,4,3,2,128,2,1,60,77,2022-2023
131,Emmanuel Dennis,19,2,2,3,0,124,183,21,7,13.2,2,17,17,13,335,53,18,211,219,2022-2023
132,Halil Dervişoğlu,1,0,0,0,0,0,0,1,0,31.9,0,0,1,0,1,0,0,2,2,2022-2023
133,Kiernan Dewsbury-Hall,31,2,2,5,1,872,1154,26,6,21.3,0,53,47,55,1490,74,40,903,1038,2022-2023
134,Ibrahima Diallo,18,0,0,4,0,317,402,6,0,28.4,0,25,14,11,499,13,8,287,294,2022-2023
135,Rúben Dias,26,0,0,3,0,1928,2080,10,2,9.1,0,21,18,21,2237,10,8,1497,1791,2022-2023
