,Player Name_x,MP,Gls,Ast,CRDY,CRDR,Cmp,Att,shot,SoT,Dist,FK,TKL,Dribbles,Blocks,Touches,DAttp,Succ,Carries,Receiving,season
266,N'Golo Kanté,7,0,1,1,0,271,338,8,1,20.9,0,16,8,11,404,18,12,230,279,2022-2023
267,Michael Keane,12,1,2,0,0,305,441,14,4,12.9,0,7,8,12,565,7,4,257,275,2022-2023
268,Neeskens Kebano,17,0,3,0,0,155,212,9,2,15.2,0,17,17,14,321,28,9,199,216,2022-2023
269,Thilo Kehrer,27,0,2,4,0,927,1112,8,1,18.4,0,43,44,16,1335,11,8,677,760,2022-2023
270,Naby Keïta,8,0,0,1,0,129,168,10,0,20.6,0,5,4,1,206,4,3,111,140,2022-2023
271,Caoimhín Kelleher,1,0,0,0,0,23,24,0,0,,0,0,0,0,26,0,0,18,13,2022-2023
272,Lloyd Kelly,23,0,2,3,0,934,1164,3,0,8.9,0,33,19,26,1394,7,1,705,806,2022-2023
273,Max Kilman,37,0,0,3,0,1748,2107,14,0,10.1,0,36,30,70,2470,25,19,1443,1699,2022-2023
274,Jakub Kiwior,7,1,0,0,0,177,205,1,1,10.0,0,7,8,5,248,1,1,141,148,2022-2023
275,Mateusz Klich,14,0,0,2,0,108,148,4,1,21.7,0,12,13,4,189,6,2,110,124,2022-2023
276,Robin Koch,36,0,0,7,0,1229,1594,17,4,11.1,0,53,56,44,1963,3,1,1013,1102,2022-2023
277,Ibrahima Konaté,18,0,0,5,0,988,1135,11,3,9.7,0,38,27,12,1317,14,10,829,918,2022-2023
278,Ezri Konsa,38,0,0,6,0,1681,1898,8,0,8.0,0,42,26,41,2192,15,5,1375,1533,2022-2023
279,Kalidou Koulibaly,23,2,1,7,1,1275,1471,11,4,12.0,0,45,40,30,1687,6,4,1083,1209,2022-2023
280,Cheikhou Kouyaté,21,1,0,3,0,185,246,6,5,19.4,0,29,13,14,363,9,6,160,175,2022-2023
281,Mateo Kovačić,27,1,2,8,0,1130,1319,23,1,22.1,0,36,36,10,1492,34,19,1010,1144,2022-2023
282,Emil Krafth,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,2022-2023
283,Dejan Kulusevski,30,2,7,2,0,582,746,43,10,17.6,0,38,44,19,1048,110,50,675,711,2022-2023
284,Layvin Kurzawa,3,0,0,1,0,28,41,0,0,,0,3,3,1,64,4,2,29,24,2022-2023
285,Adam Lallana,16,2,1,0,0,262,317,8,5,13.3,0,9,7,6,373,6,3,206,295,2022-2023
286,Tariq Lamptey,20,0,0,1,0,239,302,5,0,20.1,0,11,7,7,376,28,8,232,256,2022-2023
287,Manuel Lanzini,10,1,0,0,0,146,175,3,1,23.1,0,2,6,2,192,3,1,116,150,2022-2023
288,Aymeric Laporte,12,0,0,0,0,892,964,10,1,14.9,0,11,11,10,1036,4,2,702,806,2022-2023
289,Juan Larios,5,0,0,0,0,63,82,0,0,,0,7,5,2,106,4,3,38,47,2022-2023
290,Jamaal Lascelles,7,0,0,4,0,79,93,2,0,9.7,0,1,1,3,118,0,0,64,75,2022-2023
291,Roméo Lavia,29,1,0,9,0,859,997,12,3,27.0,0,60,53,47,1288,50,28,804,794,2022-2023
292,Dexter Lembikisa,1,0,0,0,0,10,13,0,0,,0,0,0,0,13,0,0,7,8,2022-2023
293,Mario Lemina,19,0,1,4,1,566,651,9,2,27.4,0,38,38,26,794,18,11,414,521,2022-2023
294,Clément Lenglet,26,0,2,4,0,1270,1465,13,2,15.5,0,38,34,26,1666,12,7,1142,1256,2022-2023
295,Bernd Leno,36,0,0,3,0,1110,1397,0,0,,0,0,2,0,1499,0,0,857,752,2022-2023
296,Jefferson Lerma,37,5,0,7,0,1317,1611,35,10,17.6,0,50,45,32,1934,23,13,946,1162,2022-2023
297,Jamal Lewis,2,0,0,0,0,12,14,0,0,,0,0,0,0,15,0,0,10,13,2022-2023
298,Rico Lewis,14,0,0,1,0,617,675,5,2,21.1,0,16,11,8,742,14,8,511,593,2022-2023
299,Keane Lewis-Potter,10,0,1,0,0,49,86,7,2,14.1,0,1,0,5,138,14,4,93,91,2022-2023
300,Victor Lindelöf,20,0,0,1,0,866,930,3,0,7.9,0,22,17,18,1074,3,2,652,739,2022-2023
301,Jesse Lingard,17,0,0,1,0,236,297,10,2,19.3,0,4,7,11,371,10,6,214,263,2022-2023
302,Valentino Livramento,2,0,0,0,0,21,26,0,0,,0,2,0,0,37,3,2,10,16,2022-2023
303,Diego Llorente,8,0,0,1,0,356,429,6,0,12.5,0,13,8,6,506,3,2,303,312,2022-2023
304,Hugo Lloris,25,0,0,0,0,561,728,0,0,,0,1,3,0,794,0,0,430,353,2022-2023
305,Renan Lodi,28,0,1,7,0,583,877,15,0,19.9,2,52,66,25,1143,39,16,546,535,2022-2023
306,Ruben Loftus-Cheek,25,0,1,1,0,782,907,9,2,18.6,0,25,21,15,1068,60,30,651,774,2022-2023
307,Sean Longstaff,33,1,4,2,0,943,1163,33,7,16.0,0,42,52,35,1433,27,8,752,951,2022-2023
308,Jamal Lowe,2,0,0,0,0,2,4,0,0,,0,0,0,0,4,0,0,2,3,2022-2023
309,Douglas Luiz,37,6,6,6,1,1494,1812,34,12,25.0,7,73,63,36,2118,44,24,1142,1326,2022-2023
310,Saša Lukić,12,0,0,1,0,192,218,5,1,27.1,0,8,7,6,253,5,4,146,171,2022-2023
311,Lyanco,21,1,1,4,0,400,558,12,4,19.1,0,24,18,30,720,11,8,368,353,2022-2023
312,Alexis Mac Allister,35,10,2,8,0,1586,1844,80,28,22.5,8,70,70,26,2182,72,42,1319,1644,2022-2023
313,James Maddison,30,10,9,10,0,844,1150,83,27,21.1,13,51,50,19,1447,107,46,964,1075,2022-2023
314,Noni Madueke,12,1,0,0,0,223,286,12,6,15.6,0,12,13,13,405,63,33,278,315,2022-2023
315,Harry Maguire,16,0,0,4,0,491,577,3,0,9.0,0,8,5,18,672,3,2,414,448,2022-2023
316,Riyad Mahrez,30,5,10,2,0,958,1166,42,12,17.2,7,30,38,27,1392,73,25,934,1042,2022-2023
317,Kobbie Mainoo,1,0,0,0,0,7,8,0,0,,0,0,0,1,11,1,0,5,6,2022-2023
318,Ainsley Maitland-Niles,22,0,0,3,0,565,713,1,1,31.4,0,45,44,28,912,22,17,407,509,2022-2023
319,Tyrell Malacia,22,0,0,6,0,694,802,5,2,22.1,0,46,25,13,989,19,6,472,557,2022-2023
320,Orel Mangala,27,1,1,3,0,411,514,9,3,20.7,0,28,29,21,655,34,16,334,383,2022-2023
321,Javier Manquillo,4,0,0,0,0,24,29,0,0,,0,3,2,1,36,0,0,20,20,2022-2023
322,Sekou Mara,22,1,2,1,0,68,107,17,4,16.2,0,14,9,11,221,29,13,129,151,2022-2023
323,Solly March,33,7,7,2,0,951,1312,74,31,16.2,1,53,28,34,1659,114,58,1024,1124,2022-2023
324,Emiliano Marcondes,1,0,0,0,0,1,1,0,0,,0,0,0,0,3,1,0,2,2,2022-2023
325,Marquinhos,1,0,0,0,0,2,3,0,0,,0,0,0,0,3,0,0,2,3,2022-2023
326,Anthony Martial,21,6,2,0,0,263,328,26,12,13.2,0,5,4,11,443,26,14,297,371,2022-2023
327,Martinelli,36,15,5,3,0,833,1107,79,30,15.4,2,31,22,24,1490,132,59,1019,1115,2022-2023
328,Emiliano Martínez,36,0,0,7,0,1026,1388,0,0,,0,0,2,0,1479,0,0,851,707,2022-2023
329,Lisandro Martínez,27,1,0,6,0,1330,1528,10,1,14.8,0,54,43,51,1809,16,14,1061,1138,2022-2023
330,Pape Matar Sarr,11,0,1,1,0,141,154,2,0,27.3,0,7,8,3,190,4,1,122,125,2022-2023
331,Jean-Philippe Mateta,29,2,0,3,0,104,149,27,7,12.2,0,7,3,3,266,8,3,145,185,2022-2023
332,Joël Matip,14,1,0,3,0,766,885,5,3,8.3,0,14,23,8,1004,7,4,657,720,2022-2023
333,Neal Maupay,27,1,0,4,0,190,253,32,13,14.3,0,11,4,8,387,19,7,219,280,2022-2023
334,Kevin Mbabu,6,0,1,1,0,68,94,0,0,,0,3,3,2,114,6,4,57,59,2022-2023
335,Bryan Mbeumo,38,9,8,5,0,655,991,70,32,16.3,1,26,42,24,1335,88,45,776,862,2022-2023
336,James McArthur,4,0,0,0,0,41,52,0,0,,0,1,1,2,60,2,1,36,40,2022-2023
337,Alex McCarthy,6,0,0,0,0,150,249,0,0,,0,0,1,0,261,0,0,139,133,2022-2023
338,John McGinn,34,1,3,7,0,805,1028,42,11,23.6,0,66,71,43,1348,70,45,804,888,2022-2023
339,Scott McKenna,20,0,0,4,0,569,727,2,0,8.2,0,12,10,20,877,7,5,430,508,2022-2023
340,Weston McKennie,19,0,1,7,0,472,628,13,2,15.9,0,30,29,22,807,16,11,400,445,2022-2023
341,Dwight McNeil,36,7,3,5,0,656,987,46,15,20.5,1,64,62,46,1358,108,54,738,762,2022-2023
342,Scott McTominay,24,1,0,8,0,355,432,13,6,14.9,0,32,22,15,618,26,13,315,359,2022-2023
343,Ben Mee,37,3,1,2,0,1348,1761,28,7,10.3,0,45,37,54,2122,13,12,1146,1179,2022-2023
344,Edouard Mendy,10,0,0,1,0,233,289,0,0,,0,0,0,0,307,1,0,171,157,2022-2023
345,Nampalys Mendy,19,1,0,1,0,362,413,2,1,21.1,0,13,15,20,490,11,7,283,333,2022-2023
346,Chris Mepham,26,0,0,7,0,870,1041,8,4,9.8,0,45,30,40,1336,7,3,650,788,2022-2023
347,Illan Meslier,34,0,0,3,0,664,1039,1,1,9.0,0,2,4,0,1122,0,0,596,424,2022-2023
348,Alexander Mighten,1,0,0,0,0,1,1,0,0,,0,0,1,0,4,3,0,4,4,2022-2023
349,Lewis Miley,1,0,0,0,0,5,6,1,0,20.1,0,0,0,1,9,0,0,3,3,2022-2023
350,Luka Milivojević,18,0,0,2,0,207,260,7,0,25.1,1,13,10,13,321,1,1,162,178,2022-2023
351,James Milner,31,0,1,2,0,563,727,7,1,17.9,0,26,34,14,848,21,11,447,551,2022-2023
352,Yerry Mina,7,2,0,2,0,286,325,8,4,8.4,0,15,11,7,402,2,1,217,255,2022-2023
353,Tyrone Mings,35,1,2,7,0,1617,1899,7,2,12.1,0,15,20,40,2228,12,6,1379,1486,2022-2023
354,Tyrick Mitchell,36,0,2,5,1,1152,1607,6,1,11.6,0,71,53,48,1899,30,17,827,957,2022-2023
355,Kaoru Mitoma,33,7,5,0,0,780,977,52,21,13.2,0,44,41,25,1312,129,58,891,986,2022-2023
356,Aleksandar Mitrović,24,14,1,7,0,299,496,85,27,15.1,0,14,12,22,814,47,23,451,646,2022-2023
357,Kieffer Moore,27,4,0,1,0,212,360,23,8,11.2,0,14,16,12,522,13,2,252,396,2022-2023
358,Andrew Moran,1,0,0,0,0,1,2,0,0,,0,0,0,1,6,0,0,3,3,2022-2023
359,Álex Moreno,19,0,3,3,0,581,745,13,3,18.4,0,23,36,18,949,57,23,510,570,2022-2023
360,Mason Mount,24,3,2,4,0,585,778,33,9,19.7,2,33,27,24,969,31,15,530,678,2022-2023
361,Lucas Moura,15,1,0,0,1,62,89,4,1,10.9,0,8,4,0,118,11,5,65,83,2022-2023
362,João Moutinho,31,0,2,3,0,850,1057,16,3,18.4,3,51,46,22,1218,15,8,615,769,2022-2023
363,Divin Mubama,3,0,0,0,0,5,8,0,0,,0,1,0,0,11,2,1,7,8,2022-2023
364,Mykhailo Mudryk,15,0,2,1,0,161,216,14,5,18.4,0,11,13,7,323,39,13,194,207,2022-2023
365,Jacob Murphy,36,4,2,0,0,296,448,29,10,18.6,0,15,20,17,590,43,14,364,421,2022-2023
366,Enock Mwepu,6,0,1,0,0,61,78,2,1,16.7,0,10,4,3,116,5,1,58,80,2022-2023
367,Vitaliy Mykolenko,34,0,0,4,0,966,1292,10,3,20.3,0,58,51,50,1625,25,11,701,798,2022-2023
368,Keylor Navas,17,0,0,2,0,306,534,0,0,,0,0,0,0,578,1,1,267,175,2022-2023
369,Wilfred Ndidi,27,0,0,4,0,754,899,7,2,25.1,0,61,43,32,1129,15,10,564,659,2022-2023
370,Reiss Nelson,11,3,2,0,0,101,120,12,7,16.4,1,4,4,3,157,9,7,99,112,2022-2023
371,Neto,27,0,0,4,0,521,833,0,0,,0,3,3,0,895,1,1,446,271,2022-2023
372,Pedro Neto,18,0,0,1,0,284,384,17,3,20.7,1,11,17,5,517,54,18,325,363,2022-2023
373,Rúben Neves,35,6,1,12,0,1730,2106,63,13,26.7,11,79,74,59,2486,31,19,1318,1621,2022-2023
374,Moussa Niakhate,14,0,0,1,0,265,391,6,3,12.4,0,18,22,18,528,4,0,184,189,2022-2023
375,Rasmus Nissen,26,3,1,4,0,740,1044,13,5,15.2,0,62,76,32,1276,15,7,548,633,2022-2023
376,Eddie Nketiah,30,4,1,3,0,205,255,41,14,11.3,0,13,8,7,407,34,15,259,305,2022-2023
377,Matheus Nunes,34,1,1,2,1,818,1028,28,9,17.6,1,67,61,35,1354,85,44,851,943,2022-2023
378,Darwin Núñez,29,9,3,1,1,258,401,84,35,15.1,0,11,17,10,633,44,18,387,491,2022-2023
379,Ethan Nwaneri,1,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,2022-2023
380,Christian Nørgaard,22,1,3,6,0,608,812,19,8,11.4,0,52,48,32,1050,19,8,454,526,2022-2023
381,Lewis O'Brien,13,1,0,2,0,166,214,7,2,23.8,0,16,12,13,297,17,7,157,166,2022-2023
382,Odeluga Offiah,2,0,0,0,0,24,30,0,0,,0,1,2,0,35,1,1,17,19,2022-2023
383,Angelo Ogbonna,16,0,0,0,0,332,415,3,0,12.6,0,11,10,11,545,0,0,255,281,2022-2023
384,Michael Olise,37,2,11,2,0,985,1420,51,14,21.1,7,58,60,46,1840,141,54,1048,1215,2022-2023
385,Robin Olsen,4,0,0,0,0,74,131,0,0,,0,0,2,0,141,0,0,80,57,2022-2023
386,Amadou Onana,33,1,2,9,0,816,980,34,6,16.8,0,72,42,25,1310,52,18,684,871,2022-2023
387,Josh Onomah,2,0,0,0,0,4,6,0,0,,0,1,0,1,11,1,0,5,5,2022-2023
388,Paul Onuachu,11,0,0,0,0,55,91,11,5,14.2,0,3,3,4,153,14,9,72,115,2022-2023
389,Frank Onyeka,21,0,2,0,0,193,257,9,4,17.4,0,19,25,16,373,26,11,198,205,2022-2023
390,Mislav Oršić,1,0,0,0,0,2,3,0,0,,0,1,0,0,4,0,0,2,1,2022-2023
391,Stefan Ortega,3,0,0,0,0,145,167,0,0,,0,0,0,0,174,0,0,116,119,2022-2023
392,Dango Ouattara,19,1,3,1,0,210,334,26,5,14.3,0,28,32,20,566,74,31,301,336,2022-2023
393,Alex Oxlade-Chamberlain,9,1,0,0,0,75,106,7,3,16.3,0,5,5,5,153,14,5,90,110,2022-2023
394,David Ozoh,1,0,0,0,0,3,3,0,0,,0,0,0,0,4,0,0,2,4,2022-2023
395,João Palhinha,35,3,0,14,0,1051,1274,39,9,17.2,0,147,134,48,1714,39,14,763,919,2022-2023
396,Cole Palmer,14,0,1,1,0,167,193,11,3,13.7,0,5,5,2,248,25,14,179,202,2022-2023
397,Emerson Palmieri,22,1,0,2,0,572,729,11,5,14.5,0,26,24,17,894,29,6,411,532,2022-2023
398,Lucas Paquetá,28,4,3,5,0,907,1157,52,14,19.2,1,71,66,41,1475,63,33,771,964,2022-2023
399,Thomas Partey,33,3,0,5,0,1731,1985,28,4,20.4,0,70,52,26,2267,45,35,1398,1654,2022-2023
400,Nathan Patterson,19,0,0,3,0,488,649,8,1,18.2,0,49,53,24,836,24,11,349,431,2022-2023
401,Ben Pearson,7,0,0,1,0,108,134,2,1,25.2,0,7,3,4,162,1,0,72,100,2022-2023
402,Facundo Pellistri,4,0,0,0,0,15,16,0,0,,0,1,0,0,24,3,2,12,14,2022-2023
403,Andreas Pereira,33,4,6,8,0,701,1068,61,22,21.3,12,18,33,21,1312,49,17,723,853,2022-2023
404,Ricardo Pereira,10,1,1,2,0,252,322,2,1,17.8,0,11,17,8,383,7,5,174,217,2022-2023
405,Ayoze Pérez,8,0,1,0,0,118,171,8,2,15.9,0,11,19,6,244,21,6,132,155,2022-2023
406,Ivan Perišić,34,1,8,6,0,713,1121,29,8,15.3,2,42,47,29,1370,40,18,611,733,2022-2023
407,Romain Perraud,29,2,2,4,0,623,885,30,6,22.3,0,54,52,24,1153,38,10,609,626,2022-2023
408,Máximo Perrone,1,0,0,0,0,18,21,0,0,,0,0,0,1,22,0,0,8,19,2022-2023
409,Cameron Peupion,1,0,0,0,0,3,4,1,0,8.0,0,0,0,0,6,0,0,3,5,2022-2023
410,Kalvin Phillips,12,0,0,1,0,289,313,6,0,22.9,0,6,9,7,354,2,1,228,284,2022-2023
411,Nathaniel Phillips,2,0,0,0,0,71,82,1,0,10.8,0,2,2,0,89,0,0,69,60,2022-2023
412,Jordan Pickford,37,0,1,6,0,749,1312,0,0,,0,0,1,0,1413,0,0,732,548,2022-2023
413,Ethan Pinnock,30,3,0,0,0,914,1149,15,8,10.0,0,52,24,41,1554,6,2,650,745,2022-2023
414,Daniel Podence,32,6,0,5,0,445,663,43,17,16.5,0,27,31,19,889,61,24,528,622,2022-2023
415,Nick Pope,37,0,0,3,1,614,890,0,0,,0,1,3,0,974,0,0,502,344,2022-2023
416,Pedro Porro,15,3,3,0,0,465,648,26,7,20.4,1,25,39,25,817,41,14,423,480,2022-2023
417,Dennis Praet,22,1,0,1,0,200,270,5,2,13.6,0,12,11,12,342,14,6,177,217,2022-2023
418,Isaac Price,1,0,0,1,0,12,14,0,0,,0,0,1,1,17,1,1,10,13,2022-2023
419,Christian Pulisic,24,1,1,1,0,238,301,19,6,16.8,0,11,5,8,429,44,13,299,328,2022-2023
420,Aaron Ramsdale,38,0,0,1,0,761,1111,0,0,,0,1,1,0,1196,1,1,722,629,2022-2023
421,Jacob Ramsey,35,6,7,5,0,728,889,33,13,15.9,0,69,69,48,1245,77,31,752,819,2022-2023
422,Marcus Rashford,35,17,5,2,0,627,817,108,49,16.4,7,20,24,31,1212,138,54,765,928,2022-2023
423,David Raya,38,0,0,1,0,1054,1640,1,0,9.1,0,0,2,1,1722,1,1,1030,808,2022-2023
424,Tim Ream,33,1,0,2,0,1662,1922,3,2,9.8,0,30,26,45,2193,15,10,1363,1450,2022-2023
425,Nathan Redmond,1,0,0,0,0,0,1,0,0,,0,0,0,0,1,0,0,1,1,2022-2023
426,Harrison Reed,37,3,4,5,0,988,1281,20,7,20.1,0,44,50,54,1585,28,10,765,972,2022-2023
427,Bobby Reid,36,4,1,8,0,636,907,31,10,13.7,0,42,34,25,1191,53,18,649,759,2022-2023
428,Declan Rice,37,4,1,5,0,1846,2135,35,8,23.6,1,79,50,45,2475,63,35,1454,1642,2022-2023
429,Chris Richards,9,0,0,0,0,169,203,4,0,9.1,0,9,7,10,274,0,0,120,149,2022-2023
430,Richarlison,27,1,3,3,0,196,279,27,14,12.6,0,21,27,14,441,34,12,260,306,2022-2023
431,Jaïro Riedewald,6,0,0,0,0,34,45,1,0,14.7,0,2,1,2,54,0,0,23,28,2022-2023
432,Matt Ritchie,7,0,0,0,0,24,31,0,0,,0,1,3,0,35,1,1,23,27,2022-2023
433,Andrew Robertson,34,0,8,3,0,1803,2265,13,2,14.5,0,38,41,32,2483,42,17,1385,1637,2022-2023
434,Antonee Robinson,35,0,1,8,0,1404,1910,3,0,25.7,0,62,65,49,2260,74,39,1173,1263,2022-2023
435,Joel Robles,4,0,0,1,0,63,122,0,0,,0,0,1,0,136,0,0,57,44,2022-2023
436,Marc Roca,32,1,2,7,0,978,1295,35,13,22.3,4,66,65,34,1571,30,17,822,948,2022-2023
437,Marek Rodák,2,0,0,0,0,29,61,0,0,,0,0,0,0,65,0,0,36,21,2022-2023
438,Rodri,36,2,6,5,0,2723,2987,50,14,17.1,0,67,52,40,3272,37,25,2004,2511,2022-2023
439,Rodrigo,31,13,1,6,0,389,550,66,25,15.8,2,24,19,16,804,29,12,451,547,2022-2023
440,Mads Roerslev,20,0,0,0,0,194,303,3,0,14.8,0,22,33,14,426,7,3,186,210,2022-2023
441,Cristian Romero,27,0,1,11,1,1407,1606,11,2,12.3,0,68,46,40,1923,22,13,1150,1226,2022-2023
442,Oriol Romeu,1,0,0,0,0,28,30,0,0,,0,1,0,1,37,1,1,18,20,2022-2023
443,Cristiano Ronaldo,10,1,0,2,0,121,162,25,6,17.7,1,2,2,0,220,9,4,94,167,2022-2023
444,Connor Ronan,1,0,0,0,0,3,4,0,0,,0,0,0,0,4,1,1,1,3,2022-2023
445,Salomón Rondón,7,0,0,0,0,22,29,4,1,19.3,0,0,0,1,36,1,1,16,32,2022-2023
446,Joe Rothwell,20,0,1,1,0,385,457,3,2,24.1,1,20,21,14,538,23,16,285,319,2022-2023
447,Georginio Rutter,11,0,1,0,0,31,62,4,0,14.0,0,10,8,5,124,25,9,76,86,2022-2023
448,José Sá,36,0,0,2,0,837,1200,0,0,,0,1,1,0,1277,2,2,731,585,2022-2023
449,Marcel Sabitzer,11,0,1,1,0,237,307,11,3,18.2,1,12,11,6,377,3,1,209,247,2022-2023
450,Allan Saint-Maximin,25,1,5,1,0,316,447,28,11,17.6,0,10,11,4,598,99,57,435,456,2022-2023
451,Bukayo Saka,38,14,11,6,0,1054,1430,86,29,16.3,1,63,44,38,1882,161,61,1191,1361,2022-2023
452,Mohamed Salah,38,19,12,2,0,902,1185,121,45,15.1,2,21,26,21,1634,134,50,1107,1305,2022-2023
453,William Saliba,27,2,1,4,0,1698,1865,6,3,13.8,0,34,18,13,2056,11,8,1323,1423,2022-2023
454,Mohammed Salisu,22,0,1,5,0,879,1196,19,4,12.2,0,51,34,56,1504,10,7,725,757,2022-2023
455,Albert Sambi Lokonga,6,0,0,0,0,132,140,0,0,,0,1,2,1,154,2,1,96,113,2022-2023
456,Albert Sambi Lokonga,9,0,0,2,0,228,264,2,1,17.9,0,13,12,8,325,5,1,172,211,2022-2023
457,Davinson Sánchez,18,0,0,1,0,515,594,6,2,12.2,0,24,20,16,719,6,2,406,473,2022-2023
458,Robert Sánchez,23,0,0,2,0,604,781,0,0,,0,1,0,0,826,0,0,523,480,2022-2023
459,Jadon Sancho,26,6,3,0,0,647,776,21,9,14.1,0,16,28,25,977,78,33,640,715,2022-2023
460,Morgan Sanson,2,0,0,0,0,5,7,0,0,,0,2,1,0,9,0,0,5,5,2022-2023
461,Pablo Sarabia,13,1,0,3,0,252,365,20,5,14.8,1,12,15,7,450,12,2,267,312,2022-2023
462,Jeremy Sarmiento,9,0,1,1,0,53,67,5,2,20.5,0,6,5,2,100,11,6,69,77,2022-2023
463,Gianluca Scamacca,16,3,0,3,0,118,177,30,10,18.7,1,10,2,3,273,14,6,143,203,2022-2023
464,Gustavo Scarpa,6,0,0,1,0,51,78,7,1,26.9,0,5,5,4,108,4,1,67,71,2022-2023
465,Kevin Schade,18,0,1,2,0,103,173,12,4,11.9,0,12,10,7,291,35,12,147,186,2022-2023
466,Fabian Schär,36,1,3,7,0,1423,1846,56,14,14.4,3,47,39,34,2235,13,4,1214,1341,2022-2023
467,Jeffrey Schlupp,34,3,1,7,0,665,900,28,9,17.5,0,66,43,39,1193,56,30,602,707,2022-2023
468,Nélson Semedo,36,0,1,11,1,1211,1499,9,0,20.5,0,71,64,42,1858,73,33,998,1087,2022-2023
469,Antoine Semenyo,11,1,0,0,0,38,57,3,1,17.2,0,1,6,10,102,6,3,58,64,2022-2023
470,Marcos Senesi,31,2,0,7,0,1064,1322,8,2,9.1,0,50,43,38,1647,13,8,929,983,2022-2023
471,Ryan Sessegnon,17,2,0,4,0,280,390,18,6,14.6,0,16,12,8,493,11,5,233,270,2022-2023
472,Luke Shaw,31,1,2,8,0,1757,2098,14,4,18.7,1,55,45,51,2388,39,14,1298,1459,2022-2023
473,Jonjo Shelvey,3,0,0,0,0,19,26,0,0,,0,1,1,1,28,0,0,10,17,2022-2023
474,Jonjo Shelvey,8,0,0,2,0,221,302,6,0,24.4,0,2,9,7,345,4,4,178,214,2022-2023
475,Bernardo Silva,34,4,5,5,0,1317,1543,25,9,18.1,0,44,44,23,1772,64,28,1115,1324,2022-2023
476,Thiago Silva,27,0,2,2,0,1856,2042,15,2,13.0,0,41,31,38,2302,4,3,1460,1674,2022-2023
477,Ellis Simms,11,1,0,0,0,38,62,8,1,16.1,0,0,0,0,84,2,2,37,65,2022-2023
478,Luis Sinisterra,19,5,0,3,1,273,339,28,11,16.2,0,21,18,11,469,42,19,281,341,2022-2023
479,Oliver Skipp,23,1,0,7,0,660,772,7,3,23.2,0,34,33,17,915,15,11,496,634,2022-2023
480,Adam Smith,37,0,1,11,0,953,1264,5,1,16.2,0,49,60,30,1527,30,6,647,771,2022-2023
481,Emile Smith Rowe,12,0,2,0,0,74,85,4,1,15.8,0,1,3,1,102,5,2,68,71,2022-2023
482,Cédric Soares,2,0,0,0,0,19,24,0,0,,0,0,1,1,27,0,0,14,20,2022-2023
483,Cédric Soares,6,0,0,0,0,143,186,2,0,25.4,0,8,3,3,213,2,2,120,140,2022-2023
484,Dominic Solanke,33,6,7,2,0,363,533,76,28,12.8,0,15,22,26,1012,110,45,637,730,2022-2023
485,Manor Solomon,19,4,0,0,0,175,207,11,7,19.9,0,20,16,8,292,37,19,191,186,2022-2023
486,Tomáš Souček,36,2,3,3,0,709,994,34,13,10.8,0,77,58,42,1366,17,2,544,742,2022-2023
487,Boubakary Soumaré,26,0,0,9,0,776,902,1,0,28.0,0,57,43,15,1091,22,12,588,733,2022-2023
488,Harry Souttar,12,0,1,2,0,448,555,8,1,9.6,0,15,18,16,663,5,3,390,420,2022-2023
489,Çağlar Söyüncü,7,1,0,2,0,241,309,5,2,9.5,0,14,10,9,382,1,1,185,203,2022-2023
490,Djed Spence,4,0,0,0,0,5,9,1,0,8.9,0,0,0,0,12,1,0,8,10,2022-2023
491,Jack Stacey,10,0,0,2,0,74,130,1,0,16.0,0,5,5,3,174,8,3,74,78,2022-2023
492,Junior Stanislas,4,0,0,0,0,22,28,1,0,24.5,0,0,0,2,34,0,0,18,27,2022-2023
493,Jay Stansfield,3,0,0,0,0,9,23,2,0,13.9,0,0,2,4,35,0,0,13,23,2022-2023
494,Jason Steele,15,0,1,1,0,478,541,0,0,,0,0,1,0,574,1,1,377,354,2022-2023
495,Jack Stephens,2,0,0,0,0,23,28,0,0,,0,2,1,1,33,0,0,16,25,2022-2023
496,Jack Stephens,15,0,0,3,0,446,543,2,1,5.2,0,15,10,23,665,3,3,368,398,2022-2023
497,Raheem Sterling,28,6,3,4,0,514,685,42,16,13.6,0,18,14,17,910,93,39,651,749,2022-2023
498,John Stones,23,2,2,2,0,1453,1563,11,3,13.4,0,23,10,17,1690,10,6,1080,1312,2022-2023
499,Pascal Struijk,29,2,1,5,0,1046,1320,16,7,13.4,0,84,75,32,1619,18,9,700,803,2022-2023
500,Kamaldeen Sulemana,18,2,1,1,0,189,265,24,7,18.8,0,15,14,16,431,68,36,277,294,2022-2023
501,Crysencio Summerville,28,4,2,4,0,308,411,29,9,15.3,0,30,23,20,637,60,24,420,438,2022-2023
502,Sam Surridge,20,1,0,2,0,40,81,9,2,11.6,0,5,4,5,137,5,2,71,93,2022-2023
503,Japhet Tanganga,4,0,0,0,0,82,92,0,0,,0,3,5,1,109,2,1,68,71,2022-2023
504,Matt Targett,17,0,0,1,0,326,419,1,0,25.8,0,13,24,8,463,2,2,197,241,2022-2023
505,James Tarkowski,38,1,1,6,0,1322,1633,32,9,9.0,0,51,38,99,2119,10,9,982,1209,2022-2023
506,Marcus Tavernier,23,5,4,1,0,510,724,37,14,17.3,2,33,32,25,1008,96,45,592,636,2022-2023
507,Tetê,13,1,0,0,0,186,258,15,1,19.8,0,14,21,9,350,33,20,212,237,2022-2023
